Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
09-05-2025,9,5,2025,,,5/9/2025,929.35,932.05,935,916.25,847.68K,0.02%
09-04-2025,9,4,2025,,,4/9/2025,929.15,944.4,954.15,926.5,865.80K,-0.70%
09-03-2025,9,3,2025,,,3/9/2025,935.7,933.85,939.55,931.15,626.49K,0.20%
09-02-2025,9,2,2025,,,2/9/2025,933.85,934.8,943.45,929,967.22K,0.25%
09-01-2025,9,1,2025,,,1/9/2025,931.55,920.4,933.7,918.05,839.46K,1.98%
08/29/2025,8,,,29,2025,29/8/2025,913.5,920.15,926.8,908.5,1.48M,-0.83%
08/28/2025,8,,,28,2025,28/8/2025,921.15,931,935,917.1,1.31M,-1.08%
08/26/2025,8,,,26,2025,26/8/2025,931.25,964.15,965.75,926,1.46M,-3.41%
08/25/2025,8,,,25,2025,25/8/2025,964.1,958.35,972.7,958.35,943.86K,0.72%
08/22/2025,8,,,22,2025,22/8/2025,957.2,965,970.2,952.9,946.99K,-0.97%
08/21/2025,8,,,21,2025,21/8/2025,966.6,976,983.95,964.15,820.01K,-0.96%
08/20/2025,8,,,20,2025,20/8/2025,975.95,969,984,967.95,1.58M,0.26%
08/19/2025,8,,,19,2025,19/8/2025,973.4,942.05,975.5,937.45,1.89M,3.37%
08/18/2025,8,,,18,2025,18/8/2025,941.65,929,955.55,925.75,1.86M,2.63%
08/14/2025,8,,,14,2025,14/8/2025,917.5,925,933,914.05,1.03M,-0.72%
08/13/2025,8,,,13,2025,13/8/2025,924.15,932.1,938.45,919.5,1.02M,-0.73%
08-12-2025,8,12,2025,,,12/8/2025,930.9,929.1,941,927.5,1.10M,0.19%
08-11-2025,8,11,2025,,,11/8/2025,929.1,914.05,933.15,908,1.61M,1.65%
08-08-2025,8,8,2025,,,8/8/2025,914.05,939.85,946.65,909.05,2.05M,-2.42%
08-07-2025,8,7,2025,,,7/8/2025,936.7,951.95,955.15,903.5,3.66M,-2.18%
08-06-2025,8,6,2025,,,6/8/2025,957.55,975.9,977.5,955,1.20M,-1.46%
08-05-2025,8,5,2025,,,5/8/2025,971.75,993,996.4,965.2,1.37M,-1.82%
