Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
09-05-2025,9,,,5,2025,5/9/2025,55.79,56.44,57.26,54.38,5.13M,1.60%
09-04-2025,9,,,4,2025,4/9/2025,54.91,52.75,55.25,52.75,9.83M,4.69%
09-03-2025,9,,,3,2025,3/9/2025,52.45,51.88,53.35,50.05,7.66M,2.14%
09-02-2025,9,,,2,2025,2/9/2025,51.35,50,52.12,48.87,10.23M,-3.00%
08/29/2025,8,29,2025,,,29/8/2025,52.94,53.88,54.52,52.59,10.20M,-3.39%
08/28/2025,8,28,2025,,,28/8/2025,54.8,51.95,55.07,51.02,13.06M,7.77%
08/27/2025,8,27,2025,,,27/8/2025,50.85,49.46,50.97,49.25,6.84M,1.82%
08/26/2025,8,26,2025,,,26/8/2025,49.94,49.01,51.01,48.94,9.31M,1.20%
08/25/2025,8,25,2025,,,25/8/2025,49.35,48.45,49.83,47.83,10.67M,1.67%
08/22/2025,8,22,2025,,,22/8/2025,48.54,44.8,48.97,44.64,13.92M,8.28%
08/21/2025,8,21,2025,,,21/8/2025,44.83,43.76,45.8,43.62,9.62M,0.72%
08/20/2025,8,20,2025,,,20/8/2025,44.51,41.8,44.88,40.56,14.72M,3.27%
08/19/2025,8,19,2025,,,19/8/2025,43.1,45.98,46.3,41.92,12.38M,-7.31%
08/18/2025,8,18,2025,,,18/8/2025,46.5,45.4,47.12,44.75,9.80M,2.69%
08/15/2025,8,15,2025,,,15/8/2025,45.28,46.11,47.21,43.72,12.43M,0.38%
08/14/2025,8,14,2025,,,14/8/2025,45.11,41.46,45.18,41.42,9.76M,2.34%
08/13/2025,8,13,2025,,,13/8/2025,44.08,43,46.5,42.65,17.09M,6.86%
08-12-2025,8,,,12,2025,12/8/2025,41.25,38.52,41.72,38.18,13.31M,9.56%
08-11-2025,8,,,11,2025,11/8/2025,37.65,37.13,38.57,36.8,5.76M,2.31%
08-08-2025,8,,,8,2025,8/8/2025,36.8,37.16,37.86,36.47,4.75M,0.00%
08-07-2025,8,,,7,2025,7/8/2025,36.8,39.35,39.85,35.85,9.59M,-5.30%
08-06-2025,8,,,6,2025,6/8/2025,38.86,38.01,39.75,37.8,9.39M,3.32%
08-05-2025,8,,,5,2025,5/8/2025,37.61,36.51,39.15,36.38,12.72M,4.18%
08-04-2025,8,,,4,2025,4/8/2025,36.1,37.72,37.8,35,7.91M,-1.69%
08-01-2025,8,,,1,2025,1/8/2025,36.72,32.74,38.03,32.52,17.50M,-1.79%
07/31/2025,7,31,2025,,,31/7/2025,37.39,37,39.09,36.81,18.53M,-0.61%
07/30/2025,7,30,2025,,,30/7/2025,37.62,35.09,38.08,34.54,16.36M,8.26%
07/29/2025,7,29,2025,,,29/7/2025,34.75,34.49,35.56,34,9.68M,-0.09%
07/28/2025,7,28,2025,,,28/7/2025,34.78,34.9,34.9,33.51,12.97M,1.28%
07/25/2025,7,25,2025,,,25/7/2025,34.34,33.55,34.78,33.21,16.44M,3.87%
07/24/2025,7,24,2025,,,24/7/2025,33.06,30.45,33.91,29.9,39.24M,22.95%
07/23/2025,7,23,2025,,,23/7/2025,26.89,26.27,26.93,25.74,6.07M,3.70%
