"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2025","7.87","7.42","7.88","7.42","79.89M","6.35%"
"09/05/2025","7.40","6.98","7.44","6.97","77.11M","5.71%"
"09/04/2025","7.00","6.80","7.07","6.79","57.55M","3.55%"
"09/03/2025","6.76","6.76","6.90","6.75","26.23M","0.15%"
"09/02/2025","6.75","6.78","6.85","6.72","15.90M","-0.30%"
"09/01/2025","6.77","6.66","6.79","6.66","18.30M","0.74%"
"08/29/2025","6.72","6.71","6.82","6.70","20.69M","0.15%"
"08/28/2025","6.71","6.75","6.78","6.63","28.99M","-0.59%"
"08/27/2025","6.75","6.87","6.97","6.71","41.33M","-1.75%"
"08/26/2025","6.87","6.90","6.91","6.81","69.02M","0.00%"
"08/25/2025","6.87","6.88","6.94","6.81","30.82M","0.59%"
"08/22/2025","6.83","6.82","6.86","6.76","26.09M","0.29%"
"08/21/2025","6.81","6.86","6.93","6.75","39.44M","-0.87%"
"08/20/2025","6.87","6.99","6.99","6.68","60.20M","-2.69%"
"08/19/2025","7.06","7.07","7.17","7.05","22.59M","-0.14%"
"08/18/2025","7.07","7.04","7.24","7.04","28.78M","0.14%"
"08/15/2025","7.06","6.99","7.08","6.90","13.52M","1.00%"
"08/14/2025","6.99","7.06","7.14","6.97","26.06M","-0.99%"
"08/13/2025","7.06","7.07","7.13","7.01","22.75M","0.43%"
"08/12/2025","7.03","7.02","7.14","7.00","16.06M","0.14%"
"08/11/2025","7.02","7.02","7.07","6.97","12.40M","-0.28%"
"08/08/2025","7.04","7.02","7.12","6.98","16.76M","0.28%"
"08/07/2025","7.02","6.98","7.04","6.90","18.09M","1.01%"
"08/06/2025","6.95","7.02","7.07","6.93","17.30M","-1.00%"
"08/05/2025","7.02","6.96","7.06","6.91","12.68M","0.57%"
"08/04/2025","6.98","6.89","7.02","6.89","16.33M","-0.14%"
"08/01/2025","6.99","7.10","7.11","6.94","13.78M","-1.41%"
"07/31/2025","7.09","7.30","7.30","7.04","27.14M","-2.88%"
"07/30/2025","7.30","7.28","7.40","7.24","20.71M","0.27%"
"07/29/2025","7.28","7.29","7.31","7.16","15.51M","-0.14%"
"07/28/2025","7.29","7.23","7.36","7.18","16.98M","0.55%"
"07/25/2025","7.25","7.38","7.41","7.20","15.92M","-2.03%"
"07/24/2025","7.40","7.29","7.44","7.26","23.58M","1.93%"
"07/23/2025","7.26","7.40","7.47","7.24","26.48M","-1.76%"
"07/22/2025","7.39","7.14","7.44","7.10","69.10M","4.53%"
"07/21/2025","7.07","6.90","7.08","6.90","39.50M","2.91%"
"07/18/2025","6.87","6.92","6.94","6.86","25.86M","0.15%"
"07/17/2025","6.86","6.97","6.98","6.83","38.42M","-1.01%"
"07/16/2025","6.93","7.10","7.13","6.90","39.73M","-2.39%"
"07/15/2025","7.10","7.17","7.18","7.02","29.97M","-0.70%"
"07/14/2025","7.15","7.21","7.31","7.14","19.18M","-0.69%"
"07/11/2025","7.20","7.19","7.29","7.17","12.25M","0.42%"
"07/10/2025","7.17","7.21","7.28","7.13","13.50M","-0.28%"
"07/09/2025","7.19","7.36","7.36","7.13","25.69M","-2.18%"
"07/08/2025","7.35","7.48","7.48","7.29","23.71M","-1.87%"
"07/07/2025","7.49","7.39","7.50","7.36","27.21M","2.04%"
"07/04/2025","7.34","7.26","7.37","7.23","15.03M","1.10%"
"07/03/2025","7.26","7.20","7.30","7.14","16.15M","0.83%"
"07/02/2025","7.20","7.13","7.39","7.12","34.09M","1.84%"
"06/30/2025","7.07","6.83","7.16","6.73","35.25M","3.51%"
"06/27/2025","6.83","6.93","7.04","6.78","34.10M","-2.15%"
"06/26/2025","6.98","6.91","7.08","6.91","19.00M","0.58%"
