Date,Mkt-RF,SMB,HML,RMW,CMA,RF
01-02-2015,-0.12,-0.56,0.12,-0.28,0.16,0
01-05-2015,-1.84,0.25,-0.68,0.17,-0.08,0
01-06-2015,-1.03,-0.79,-0.29,0.52,0.06,0
01-07-2015,1.19,0.17,-0.67,0.26,-0.17,0
01-08-2015,1.81,-0.1,-0.29,0.1,-0.21,0
01-09-2015,-0.85,-0.03,-0.47,-0.12,-0.16,0
01-12-2015,-0.78,0.35,-0.44,0.17,0.19,0
01-13-2015,-0.19,0.24,0.01,0.43,0.01,0
01-14-2015,-0.6,0.27,-0.5,0.19,-0.12,0
01-15-2015,-1.08,-0.95,0.61,0.7,0.59,0
01-16-2015,1.36,0.49,-0.13,-0.31,-0.07,0
01-20-2015,0.11,-0.73,-0.54,0.02,-0.52,0
01-21-2015,0.42,-0.92,0.59,0.18,-0.02,0
01-22-2015,1.58,0.45,0.42,0.02,-0.08,0
01-23-2015,-0.47,0.42,-0.76,-0.06,-0.61,0
01-26-2015,0.42,0.59,-0.05,-0.42,-0.12,0
01-27-2015,-1.22,0.73,0.2,-0.35,0.48,0
01-28-2015,-1.39,-0.17,-0.81,0.52,-0.22,0
01-29-2015,0.98,0.21,0.04,0.01,-0.34,0
01-30-2015,-1.31,-0.84,0.05,-0.16,-0.47,0
02-02-2015,1.24,-0.38,1,0.04,0.16,0
02-03-2015,1.49,0.24,0.5,0.06,0.42,0
02-04-2015,-0.35,-0.09,-0.22,0.32,-0.12,0
02-05-2015,1.1,0.43,-0.07,-0.51,-0.18,0
02-06-2015,-0.2,0.1,0.34,-0.19,-0.11,0
02-09-2015,-0.46,-0.35,0.11,-0.03,-0.04,0
02-10-2015,1.05,-0.35,-0.73,0.11,-0.4,0
02-11-2015,0.03,-0.16,-0.34,0.07,-0.1,0
02-12-2015,1,0.19,-0.05,-0.16,-0.15,0
02-13-2015,0.47,0.14,-0.3,-0.3,-0.24,0
02-17-2015,0.16,-0.03,-0.03,-0.17,-0.15,0
02-18-2015,0.03,0.27,-0.83,0.28,-0.19,0
02-19-2015,-0.01,0.22,-0.38,-0.04,-0.37,0
