Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
09-05-2025,9,5,2025,,,5/9/2025,1.14,0.9,1.17,0.9,90.60M,26.67%
09-04-2025,9,4,2025,,,4/9/2025,0.9,0.83,0.91,0.8,54.77M,8.43%
09-03-2025,9,3,2025,,,3/9/2025,0.83,0.77,0.83,0.74,44.61M,9.21%
09-02-2025,9,2,2025,,,2/9/2025,0.76,0.8,0.83,0.74,42.30M,-5.00%
09-01-2025,9,1,2025,,,1/9/2025,0.8,0.71,0.8,0.7,31.86M,9.59%
08/29/2025,8,,,29,2025,29/8/2025,0.73,0.73,0.84,0.6,154.54M,4.29%
08/28/2025,8,,,28,2025,28/8/2025,0.7,0.52,0.7,0.51,117.69M,27.27%
08/27/2025,8,,,27,2025,27/8/2025,0.55,0.47,0.55,0.46,70.16M,18.28%
08/26/2025,8,,,26,2025,26/8/2025,0.465,0.475,0.49,0.455,44.41M,-3.12%
08/25/2025,8,,,25,2025,25/8/2025,0.48,0.42,0.48,0.42,35.08M,14.29%
08/22/2025,8,,,22,2025,22/8/2025,0.42,0.43,0.43,0.415,19.81M,-2.33%
08/21/2025,8,,,21,2025,21/8/2025,0.43,0.435,0.44,0.425,892.89K,-1.15%
08/20/2025,8,,,20,2025,20/8/2025,0.435,0.435,0.44,0.43,1.28M,0.00%
08/19/2025,8,,,19,2025,19/8/2025,0.435,0.43,0.44,0.42,4.26M,0.00%
08/18/2025,8,,,18,2025,18/8/2025,0.435,0.435,0.44,0.43,3.49M,-2.25%
08/15/2025,8,,,15,2025,15/8/2025,0.445,0.44,0.445,0.435,1.30M,0.00%
08/14/2025,8,,,14,2025,14/8/2025,0.445,0.445,0.445,0.43,5.92M,0.00%
08/13/2025,8,,,13,2025,13/8/2025,0.445,0.455,0.455,0.44,2.34M,-1.11%
08-12-2025,8,12,2025,,,12/8/2025,0.45,0.445,0.45,0.435,5.81M,1.12%
08-11-2025,8,11,2025,,,11/8/2025,0.445,0.44,0.445,0.44,2.79M,0.00%
08-08-2025,8,8,2025,,,8/8/2025,0.445,0.44,0.445,0.435,1.17M,1.14%
08-07-2025,8,7,2025,,,7/8/2025,0.44,0.445,0.445,0.44,1.16M,0.00%
08-06-2025,8,6,2025,,,6/8/2025,0.44,0.44,0.445,0.435,1.54M,0.00%
08-05-2025,8,5,2025,,,5/8/2025,0.44,0.44,0.445,0.435,956.85K,0.00%
08-04-2025,8,4,2025,,,4/8/2025,0.44,0.445,0.45,0.44,1.67M,-1.12%
08-01-2025,8,1,2025,,,1/8/2025,0.445,0.435,0.45,0.435,2.48M,2.30%
07/31/2025,7,,,31,2025,31/7/2025,0.435,0.455,0.455,0.435,3.75M,-3.33%
07/30/2025,7,,,30,2025,30/7/2025,0.45,0.46,0.46,0.45,2.77M,-2.17%
07/29/2025,7,,,29,2025,29/7/2025,0.46,0.445,0.465,0.445,8.40M,2.22%
07/28/2025,7,,,28,2025,28/7/2025,0.45,0.445,0.455,0.44,3.26M,1.12%
07/25/2025,7,,,25,2025,25/7/2025,0.445,0.445,0.45,0.44,2.79M,0.00%
07/24/2025,7,,,24,2025,24/7/2025,0.445,0.44,0.45,0.435,3.15M,1.14%
07/23/2025,7,,,23,2025,23/7/2025,0.44,0.45,0.45,0.435,7.21M,-2.22%
07/22/2025,7,,,22,2025,22/7/2025,0.45,0.465,0.465,0.435,7.97M,-2.17%
07/21/2025,7,,,21,2025,21/7/2025,0.46,0.46,0.46,0.45,3.78M,0.00%
07/18/2025,7,,,18,2025,18/7/2025,0.46,0.46,0.465,0.445,6.85M,0.00%
07/17/2025,7,,,17,2025,17/7/2025,0.46,0.45,0.465,0.45,12.54M,3.37%
07/16/2025,7,,,16,2025,16/7/2025,0.445,0.45,0.455,0.445,4.85M,-1.11%
07/15/2025,7,,,15,2025,15/7/2025,0.45,0.455,0.455,0.44,1.96M,0.00%
07/14/2025,7,,,14,2025,14/7/2025,0.45,0.435,0.45,0.43,3.74M,3.45%
07-11-2025,7,11,2025,,,11/7/2025,0.435,0.44,0.45,0.425,7.48M,-1.14%
07-10-2025,7,10,2025,,,10/7/2025,0.44,0.445,0.455,0.435,1.85M,-1.12%
07-09-2025,7,9,2025,,,9/7/2025,0.445,0.45,0.46,0.435,4.90M,-1.11%
07-08-2025,7,8,2025,,,8/7/2025,0.45,0.44,0.45,0.425,6.98M,2.27%
07-07-2025,7,7,2025,,,7/7/2025,0.44,0.43,0.445,0.425,8.49M,2.33%
07-04-2025,7,4,2025,,,4/7/2025,0.43,0.42,0.43,0.415,5.15M,3.61%
07-03-2025,7,3,2025,,,3/7/2025,0.415,0.415,0.425,0.41,5.00M,1.22%
07-02-2025,7,2,2025,,,2/7/2025,0.41,0.4,0.415,0.4,5.82M,2.50%
06/30/2025,6,,,30,2025,30/6/2025,0.4,0.39,0.41,0.39,3.41M,3.90%
06/27/2025,6,,,27,2025,27/6/2025,0.385,0.39,0.39,0.375,3.59M,-1.28%
06/26/2025,6,,,26,2025,26/6/2025,0.39,0.4,0.4,0.38,4.66M,-2.50%
06/25/2025,6,,,25,2025,25/6/2025,0.4,0.4,0.405,0.39,4.37M,0.00%
06/24/2025,6,,,24,2025,24/6/2025,0.4,0.4,0.41,0.395,3.65M,0.00%
06/23/2025,6,,,23,2025,23/6/2025,0.4,0.425,0.425,0.4,4.90M,-5.88%
06/20/2025,6,,,20,2025,20/6/2025,0.425,0.43,0.44,0.42,3.61M,1.19%
06/19/2025,6,,,19,2025,19/6/2025,0.42,0.435,0.45,0.415,3.99M,-5.62%
06/18/2025,6,,,18,2025,18/6/2025,0.445,0.435,0.45,0.43,3.61M,3.49%
06/17/2025,6,,,17,2025,17/6/2025,0.43,0.445,0.46,0.425,3.28M,-3.37%
06/16/2025,6,,,16,2025,16/6/2025,0.445,0.45,0.47,0.415,9.26M,2.30%
06/13/2025,6,,,13,2025,13/6/2025,0.435,0.445,0.46,0.43,6.29M,-2.25%
06-12-2025,6,12,2025,,,12/6/2025,0.445,0.41,0.48,0.41,34.70M,8.54%
06-11-2025,6,11,2025,,,11/6/2025,0.41,0.37,0.415,0.37,9.38M,10.81%
06-10-2025,6,10,2025,,,10/6/2025,0.37,0.37,0.38,0.365,2.86M,0.00%
06-09-2025,6,9,2025,,,9/6/2025,0.37,0.345,0.37,0.345,6.96M,7.25%
06-06-2025,6,6,2025,,,6/6/2025,0.345,0.34,0.345,0.335,2.73M,1.47%
06-05-2025,6,5,2025,,,5/6/2025,0.34,0.325,0.35,0.325,6.60M,4.62%
06-04-2025,6,4,2025,,,4/6/2025,0.325,0.325,0.33,0.32,676.59K,1.56%
06-03-2025,6,3,2025,,,3/6/2025,0.32,0.32,0.33,0.32,1.10M,-1.54%
06-02-2025,6,2,2025,,,2/6/2025,0.325,0.325,0.325,0.315,2.39M,-1.52%
05/30/2025,5,,,30,2025,30/5/2025,0.33,0.33,0.33,0.325,248.44K,1.54%
05/29/2025,5,,,29,2025,29/5/2025,0.325,0.325,0.33,0.32,642.68K,0.00%
05/28/2025,5,,,28,2025,28/5/2025,0.325,0.33,0.33,0.32,610.06K,0.00%
05/27/2025,5,,,27,2025,27/5/2025,0.325,0.325,0.33,0.325,529.30K,0.00%
05/26/2025,5,,,26,2025,26/5/2025,0.325,0.33,0.335,0.325,908.32K,-1.52%
