Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
09-05-2025,9,,,5,2025,5/9/2025,2.28,2.2,2.3,2.2,2.47M,3.55%
09-04-2025,9,,,4,2025,4/9/2025,2.2,2.23,2.27,2.2,3.91M,0.00%
09-03-2025,9,,,3,2025,3/9/2025,2.2,2.27,2.31,2.2,5.26M,-3.00%
09-02-2025,9,,,2,2025,2/9/2025,2.27,2.32,2.33,2.24,2.88M,-1.22%
09-01-2025,9,,,1,2025,1/9/2025,2.3,2.3,2.37,2.3,2.69M,-0.52%
08/29/2025,8,29,2025,,,29/8/2025,2.31,2.37,2.38,2.26,6.16M,-2.53%
08/28/2025,8,28,2025,,,28/8/2025,2.37,2.4,2.43,2.33,3.23M,-2.39%
08/27/2025,8,27,2025,,,27/8/2025,2.43,2.41,2.49,2.38,3.34M,-0.90%
08/26/2025,8,26,2025,,,26/8/2025,2.45,2.4,2.47,2.38,3.47M,2.17%
08/25/2025,8,25,2025,,,25/8/2025,2.4,2.42,2.47,2.4,2.29M,-0.91%
08/22/2025,8,22,2025,,,22/8/2025,2.42,2.43,2.48,2.38,3.34M,-0.41%
08/21/2025,8,21,2025,,,21/8/2025,2.43,2.42,2.49,2.42,1.61M,-1.22%
08/20/2025,8,20,2025,,,20/8/2025,2.46,2.45,2.5,2.45,2.79M,-1.20%
08/19/2025,8,19,2025,,,19/8/2025,2.49,2.44,2.54,2.44,2.60M,1.47%
08/18/2025,8,18,2025,,,18/8/2025,2.45,2.4,2.52,2.4,3.14M,2.59%
08/15/2025,8,15,2025,,,15/8/2025,2.39,2.4,2.44,2.37,1.73M,-0.66%
08/14/2025,8,14,2025,,,14/8/2025,2.41,2.44,2.44,2.39,1.42M,-0.41%
08/13/2025,8,13,2025,,,13/8/2025,2.42,2.35,2.42,2.35,1.73M,1.09%
08-12-2025,8,,,12,2025,12/8/2025,2.39,2.39,2.44,2.37,1.84M,-0.50%
08-11-2025,8,,,11,2025,11/8/2025,2.4,2.44,2.44,2.39,1.74M,-1.64%
08-08-2025,8,,,8,2025,8/8/2025,2.44,2.43,2.49,2.41,2.53M,0.58%
08-07-2025,8,,,7,2025,7/8/2025,2.43,2.4,2.47,2.4,2.68M,0.00%
08-06-2025,8,,,6,2025,6/8/2025,2.43,2.47,2.48,2.4,1.64M,-0.65%
08-05-2025,8,,,5,2025,5/8/2025,2.45,2.5,2.55,2.37,4.47M,-2.23%
08-04-2025,8,,,4,2025,4/8/2025,2.51,2.46,2.56,2.46,2.52M,1.21%
08-01-2025,8,,,1,2025,1/8/2025,2.48,2.66,2.66,2.46,3.61M,-6.78%
07/31/2025,7,31,2025,,,31/7/2025,2.66,2.6,2.66,2.59,2.56M,2.63%
07/30/2025,7,30,2025,,,30/7/2025,2.59,2.55,2.65,2.55,2.82M,-2.19%
07/29/2025,7,29,2025,,,29/7/2025,2.65,2.77,2.82,2.62,4.96M,-3.78%
07/28/2025,7,28,2025,,,28/7/2025,2.75,2.75,2.9,2.75,3.41M,-0.58%
07/25/2025,7,25,2025,,,25/7/2025,2.77,2.72,2.77,2.66,2.23M,2.07%
07/24/2025,7,24,2025,,,24/7/2025,2.71,2.82,2.85,2.71,3.39M,-2.87%
07/23/2025,7,23,2025,,,23/7/2025,2.79,2.71,2.79,2.7,2.93M,2.88%
07/22/2025,7,22,2025,,,22/7/2025,2.71,2.71,2.77,2.68,7.12M,0.00%
07/21/2025,7,21,2025,,,21/7/2025,2.71,2.66,2.79,2.66,2.70M,0.89%
07/18/2025,7,18,2025,,,18/7/2025,2.68,2.65,2.71,2.62,2.32M,2.36%
07/17/2025,7,17,2025,,,17/7/2025,2.62,2.5,2.72,2.5,2.61M,0.00%
07/16/2025,7,16,2025,,,16/7/2025,2.62,2.53,2.78,2.49,11.19M,-2.96%
07/15/2025,7,15,2025,,,15/7/2025,2.7,2.67,2.78,2.67,4.64M,1.50%
07/14/2025,7,14,2025,,,14/7/2025,2.66,2.79,2.81,2.65,3.32M,-4.93%
07-11-2025,7,,,11,2025,11/7/2025,2.8,2.94,2.94,2.8,3.19M,-4.17%
07-10-2025,7,,,10,2025,10/7/2025,2.92,2.8,2.94,2.8,4.05M,5.18%
07-09-2025,7,,,9,2025,9/7/2025,2.78,2.67,2.79,2.67,2.48M,4.20%
07-08-2025,7,,,8,2025,8/7/2025,2.67,2.76,2.78,2.67,3.20M,-3.89%
07-07-2025,7,,,7,2025,7/7/2025,2.78,2.76,2.83,2.73,4.52M,0.95%
07-04-2025,7,,,4,2025,4/7/2025,2.75,2.69,2.84,2.64,4.28M,3.62%
07-03-2025,7,,,3,2025,3/7/2025,2.65,2.64,2.69,2.62,3.76M,0.91%
07-02-2025,7,,,2,2025,2/7/2025,2.63,2.6,2.65,2.54,4.73M,1.39%
07-01-2025,7,,,1,2025,1/7/2025,2.59,2.54,2.64,2.51,4.60M,3.18%
06/30/2025,6,30,2025,,,30/6/2025,2.51,2.52,2.52,2.45,4.51M,-0.40%
06/27/2025,6,27,2025,,,27/6/2025,2.52,2.43,2.58,2.43,4.54M,3.53%
06/26/2025,6,26,2025,,,26/6/2025,2.44,2.43,2.47,2.42,2.26M,1.16%
06/25/2025,6,25,2025,,,25/6/2025,2.41,2.49,2.54,2.41,3.29M,-3.52%
06/24/2025,6,24,2025,,,24/6/2025,2.5,2.39,2.53,2.39,6.08M,5.05%
06/23/2025,6,23,2025,,,23/6/2025,2.38,2.44,2.44,2.34,3.48M,-2.54%
06/20/2025,6,20,2025,,,20/6/2025,2.44,2.41,2.48,2.35,6.31M,1.58%
06/19/2025,6,19,2025,,,19/6/2025,2.4,2.33,2.43,2.32,4.24M,2.30%
06/18/2025,6,18,2025,,,18/6/2025,2.35,2.31,2.35,2.28,6.30M,0.69%
06/17/2025,6,17,2025,,,17/6/2025,2.33,2.35,2.39,2.29,6.58M,-1.19%
06/16/2025,6,16,2025,,,16/6/2025,2.36,2.32,2.39,2.3,4.91M,1.55%
06/13/2025,6,13,2025,,,13/6/2025,2.32,2.43,2.43,2.32,4.85M,-5.37%
06-12-2025,6,,,12,2025,12/6/2025,2.46,2.55,2.55,2.46,3.76M,-3.53%
06-11-2025,6,,,11,2025,11/6/2025,2.55,2.51,2.58,2.49,4.89M,2.41%
06-10-2025,6,,,10,2025,10/6/2025,2.49,2.42,2.53,2.42,7.81M,4.19%
06-06-2025,6,,,6,2025,6/6/2025,2.39,2.37,2.47,2.34,6.08M,0.34%
06-05-2025,6,,,5,2025,5/6/2025,2.38,2.41,2.46,2.38,4.78M,-0.42%
06-04-2025,6,,,4,2025,4/6/2025,2.39,2.32,2.53,2.31,11.61M,4.46%
06-03-2025,6,,,3,2025,3/6/2025,2.29,2.23,2.29,2.2,4.78M,1.87%
06-02-2025,6,,,2,2025,2/6/2025,2.24,2.2,2.25,2.16,13.68M,2.75%
05/30/2025,5,30,2025,,,30/5/2025,2.18,2.3,2.37,2.18,17.31M,-5.13%
05/28/2025,5,28,2025,,,28/5/2025,2.3,2.35,2.4,2.29,7.26M,-2.79%
05/27/2025,5,27,2025,,,27/5/2025,2.37,2.35,2.41,2.35,4.54M,0.68%
05/26/2025,5,26,2025,,,26/5/2025,2.35,2.42,2.42,2.33,7.68M,-2.81%
05/23/2025,5,23,2025,,,23/5/2025,2.42,2.41,2.5,2.4,4.14M,-0.58%
