Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
09-05-2025,9,5,2025,,,5/9/2025,70.62,71.31,71.71,70.25,4.51M,-0.35%
09-04-2025,9,4,2025,,,4/9/2025,70.87,72.05,72.5,70.16,14.60M,-1.06%
09-03-2025,9,3,2025,,,3/9/2025,71.63,72.12,72.63,71.36,7.72M,-1.40%
09-02-2025,9,2,2025,,,2/9/2025,72.65,72.27,72.66,71.49,8.66M,0.83%
08/29/2025,8,,,29,2025,29/8/2025,72.05,72.4,72.83,71.82,11.28M,-0.06%
08/28/2025,8,,,28,2025,28/8/2025,72.09,73.26,73.48,71.9,10.92M,-2.44%
08/27/2025,8,,,27,2025,27/8/2025,73.89,74.91,75.01,73.4,10.12M,-1.27%
08/26/2025,8,,,26,2025,26/8/2025,74.84,75.44,75.75,74.43,7.16M,-0.64%
08/25/2025,8,,,25,2025,25/8/2025,75.32,75.81,76.2,75.11,6.34M,-1.31%
08/22/2025,8,,,22,2025,22/8/2025,76.32,76.65,77.09,75.43,13.13M,0.32%
08/21/2025,8,,,21,2025,21/8/2025,76.08,76.47,77.42,75.58,8.64M,-0.13%
08/20/2025,8,,,20,2025,20/8/2025,76.18,76.72,77.26,75.83,11.01M,-0.43%
08/19/2025,8,,,19,2025,19/8/2025,76.51,75.8,76.57,75.45,8.05M,1.04%
08/18/2025,8,,,18,2025,18/8/2025,75.72,76.11,77.31,75.31,12.57M,0.41%
08/15/2025,8,,,15,2025,15/8/2025,75.41,72.24,76.69,71.78,23.40M,4.39%
08/14/2025,8,,,14,2025,14/8/2025,72.24,71.8,72.51,71.35,6.78M,-0.08%
08/13/2025,8,,,13,2025,13/8/2025,72.3,71.9,72.31,71.2,8.12M,0.61%
08-12-2025,8,12,2025,,,12/8/2025,71.86,72.69,72.78,71.14,8.67M,-0.81%
08-11-2025,8,11,2025,,,11/8/2025,72.45,72.8,73.01,71.12,8.42M,0.06%
08-08-2025,8,8,2025,,,8/8/2025,72.41,72.66,73,72.23,5.58M,-0.23%
08-07-2025,8,7,2025,,,7/8/2025,72.58,70.67,72.66,70.67,7.42M,2.89%
08-06-2025,8,6,2025,,,6/8/2025,70.54,71.44,71.51,70.49,7.72M,-0.90%
08-05-2025,8,5,2025,,,5/8/2025,71.18,70.86,71.93,70.65,7.18M,0.92%
08-04-2025,8,4,2025,,,4/8/2025,70.53,70.5,71.21,70.18,6.54M,0.18%
08-01-2025,8,1,2025,,,1/8/2025,70.4,71.43,71.79,70.34,6.63M,-0.93%
07/31/2025,7,,,31,2025,31/7/2025,71.06,70.41,71.22,69.68,8.85M,0.10%
07/30/2025,7,,,30,2025,30/7/2025,70.99,71.9,72.01,70.93,6.94M,-1.33%
07/29/2025,7,,,29,2025,29/7/2025,71.95,71.64,72.28,71.05,7.59M,0.86%
07/28/2025,7,,,28,2025,28/7/2025,71.34,71.9,72.3,70.97,8.16M,-0.71%
07/25/2025,7,,,25,2025,25/7/2025,71.85,72.1,72.72,71.08,8.07M,-0.17%
07/24/2025,7,,,24,2025,24/7/2025,71.97,72.93,72.97,71.35,11.17M,-1.17%
07/23/2025,7,,,23,2025,23/7/2025,72.82,77.5,78.46,72.07,21.22M,-6.09%
07/22/2025,7,,,22,2025,22/7/2025,77.54,76.35,77.6,76.35,9.03M,1.80%
07/21/2025,7,,,21,2025,21/7/2025,76.17,76.34,77.1,75.96,8.35M,0.29%
07/18/2025,7,,,18,2025,18/7/2025,75.95,75.25,76.35,74.97,7.99M,1.02%
07/17/2025,7,,,17,2025,17/7/2025,75.18,74.51,75.47,74.37,7.17M,0.55%
07/16/2025,7,,,16,2025,16/7/2025,74.77,75.06,75.31,74.26,8.91M,0.09%
07/15/2025,7,,,15,2025,15/7/2025,74.7,75.34,75.54,74.18,8.88M,-0.45%
07/14/2025,7,,,14,2025,14/7/2025,75.04,74.4,75.82,74.17,10.42M,0.86%
07-11-2025,7,11,2025,,,11/7/2025,74.4,73.85,74.44,73.48,8.09M,-0.32%
07-10-2025,7,10,2025,,,10/7/2025,74.64,73.3,74.84,73,6.96M,1.34%
07-09-2025,7,9,2025,,,9/7/2025,73.65,72.87,73.89,72.68,8.82M,1.64%
07-08-2025,7,8,2025,,,8/7/2025,72.46,72.86,73.4,71.26,19.55M,-3.06%
07-07-2025,7,7,2025,,,7/7/2025,74.75,73.7,74.86,73.5,11.37M,1.18%
07-03-2025,7,3,2025,,,3/7/2025,73.88,73,75.05,72.47,8.56M,1.18%
07-02-2025,7,2,2025,,,2/7/2025,73.02,72.79,73.75,72.58,11.24M,-0.05%
07-01-2025,7,1,2025,,,1/7/2025,73.06,69.57,73.15,67.54,23.84M,5.24%
06/30/2025,6,,,30,2025,30/6/2025,69.42,67.82,69.68,67.2,20.89M,-2.07%
06/27/2025,6,,,27,2025,27/6/2025,70.89,71.5,71.82,70.35,14.28M,-0.14%
06/26/2025,6,,,26,2025,26/6/2025,70.99,70.4,71.2,70.29,8.01M,0.92%
06/25/2025,6,,,25,2025,25/6/2025,70.34,70.64,71.13,70.14,12.84M,-1.48%
06/24/2025,6,,,24,2025,24/6/2025,71.4,71.01,71.61,70.68,9.00M,0.95%
06/23/2025,6,,,23,2025,23/6/2025,70.73,71.79,72.32,70.13,8.67M,-1.12%
06/20/2025,6,,,20,2025,20/6/2025,71.53,71.87,72.56,71.5,15.18M,-0.06%
06/18/2025,6,,,18,2025,18/6/2025,71.57,71.97,72.44,71.38,7.20M,-0.40%
06/17/2025,6,,,17,2025,17/6/2025,71.86,73.33,73.62,70.45,12.97M,-2.60%
06/16/2025,6,,,16,2025,16/6/2025,73.78,75.2,75.3,72.56,14.55M,-1.34%
06/13/2025,6,,,13,2025,13/6/2025,74.78,73.79,75.25,73.39,13.21M,1.27%
06-12-2025,6,12,2025,,,12/6/2025,73.84,73.42,74.43,73.26,11.02M,1.15%
06-11-2025,6,11,2025,,,11/6/2025,73,72.83,73.49,72.56,12.00M,0.26%
06-10-2025,6,10,2025,,,10/6/2025,72.81,72.3,73.06,71.93,9.89M,1.27%
06-09-2025,6,9,2025,,,9/6/2025,71.9,72.23,72.46,71.32,7.06M,-0.36%
06-06-2025,6,6,2025,,,6/6/2025,72.16,71.62,72.29,71.47,9.29M,0.92%
06-05-2025,6,5,2025,,,5/6/2025,71.5,70.3,72,69.75,10.97M,2.32%
06-04-2025,6,4,2025,,,4/6/2025,69.88,71.15,71.15,69.79,10.89M,-1.51%
06-03-2025,6,3,2025,,,3/6/2025,70.95,70.3,71.08,69.86,11.01M,1.14%
06-02-2025,6,2,2025,,,2/6/2025,70.15,69.75,70.2,69.04,9.37M,-0.69%
05/30/2025,5,,,30,2025,30/5/2025,70.64,68.8,70.69,68.5,18.80M,2.39%
05/29/2025,5,,,29,2025,29/5/2025,68.99,66.77,69.1,66.77,11.57M,2.65%
05/28/2025,5,,,28,2025,28/5/2025,67.21,67.89,68.15,66.83,7.84M,-1.22%
05/27/2025,5,,,27,2025,27/5/2025,68.04,67.75,68.37,67.46,10.91M,0.41%
05/23/2025,5,,,23,2025,23/5/2025,67.76,67.01,67.95,65.97,17.16M,1.22%
05/22/2025,5,,,22,2025,22/5/2025,66.94,68.9,69,63.88,40.21M,-6.43%
05/21/2025,5,,,21,2025,21/5/2025,71.54,74.07,74.34,71.36,16.13M,-3.86%
05/20/2025,5,,,20,2025,20/5/2025,74.41,74,75.21,73.83,8.05M,0.74%
05/19/2025,5,,,19,2025,19/5/2025,73.86,74.22,74.25,73.16,14.44M,-1.52%
05/16/2025,5,,,16,2025,16/5/2025,75,74.55,75,73.71,12.83M,0.60%
05/15/2025,5,,,15,2025,15/5/2025,74.55,73,74.83,72.45,17.79M,3.27%
05/14/2025,5,,,14,2025,14/5/2025,72.19,71.79,72.43,70.75,15.24M,0.11%
05/13/2025,5,,,13,2025,13/5/2025,72.11,70.07,72.48,69.96,22.96M,3.47%
05-12-2025,5,12,2025,,,12/5/2025,69.69,70.9,70.99,68.7,18.94M,-0.88%
05-09-2025,5,9,2025,,,9/5/2025,70.31,68.68,70.49,68.45,17.33M,2.91%
05-08-2025,5,8,2025,,,8/5/2025,68.32,67.27,69.38,66.91,13.03M,1.43%
05-07-2025,5,7,2025,,,7/5/2025,67.36,66.26,67.98,65.97,9.96M,1.23%
05-06-2025,5,6,2025,,,6/5/2025,66.54,65.81,66.89,65.35,7.94M,0.67%
05-05-2025,5,5,2025,,,5/5/2025,66.1,67,67.03,65.88,7.12M,-1.48%
05-02-2025,5,2,2025,,,2/5/2025,67.09,66.1,67.37,65.99,13.33M,1.57%
05-01-2025,5,1,2025,,,1/5/2025,66.05,67.49,67.63,65.94,11.49M,-1.24%
04/30/2025,4,,,30,2025,30/4/2025,66.88,67.01,67.21,65.46,13.76M,-0.55%
04/29/2025,4,,,29,2025,29/4/2025,67.25,66.05,67.39,65.72,8.89M,1.60%
04/28/2025,4,,,28,2025,28/4/2025,66.19,66.16,66.34,65.28,7.12M,0.15%
04/25/2025,4,,,25,2025,25/4/2025,66.09,66.65,66.87,65.36,9.64M,-0.39%
04/24/2025,4,,,24,2025,24/4/2025,66.35,67.04,67.2,65.24,13.72M,-1.37%
04/23/2025,4,,,23,2025,23/4/2025,67.27,67.55,69.1,66.99,19.48M,0.95%
04/22/2025,4,,,22,2025,22/4/2025,66.64,65.46,66.8,65.35,14.35M,3.03%
04/21/2025,4,,,21,2025,21/4/2025,64.68,65.82,66.06,63.64,11.57M,-2.46%
04/17/2025,4,,,17,2025,17/4/2025,66.31,66.04,67.34,65.97,11.21M,1.02%
04/16/2025,4,,,16,2025,16/4/2025,65.64,67.95,68.04,65.3,11.36M,-2.99%
04/15/2025,4,,,15,2025,15/4/2025,67.66,67.86,68.43,67.53,7.85M,-0.04%
04/14/2025,4,,,14,2025,14/4/2025,67.69,66.48,68.12,65.96,11.59M,2.86%
04-11-2025,4,11,2025,,,11/4/2025,65.81,66.45,66.99,64.6,14.86M,-1.36%
04-10-2025,4,10,2025,,,10/4/2025,66.72,66.8,67.5,65.24,12.80M,-1.27%
04-09-2025,4,9,2025,,,9/4/2025,67.58,63.38,67.79,61.72,23.21M,5.41%
04-08-2025,4,8,2025,,,8/4/2025,64.11,66.43,66.58,63.2,14.23M,-1.46%
04-07-2025,4,7,2025,,,7/4/2025,65.06,65.5,67.26,63.93,19.49M,-2.76%
04-04-2025,4,4,2025,,,4/4/2025,66.91,72.79,73.42,66.86,20.99M,-7.25%
04-03-2025,4,3,2025,,,3/4/2025,72.14,71.67,72.96,71.37,13.65M,2.36%
04-02-2025,4,2,2025,,,2/4/2025,70.48,71.09,71.29,70.13,8.48M,-0.62%
04-01-2025,4,1,2025,,,1/4/2025,70.92,71,71.57,70.52,8.72M,0.04%
03/31/2025,3,,,31,2025,31/3/2025,70.89,70.71,71.75,70.62,13.35M,0.62%
03/28/2025,3,,,28,2025,28/3/2025,70.45,70.43,70.97,70.17,7.85M,0.60%
03/27/2025,3,,,27,2025,27/3/2025,70.03,69.76,71.02,69.61,8.75M,0.43%
03/26/2025,3,,,26,2025,26/3/2025,69.73,68.77,69.84,68.68,9.16M,1.66%
03/25/2025,3,,,25,2025,25/3/2025,68.59,70.48,70.48,68.42,12.62M,-2.11%
03/24/2025,3,,,24,2025,24/3/2025,70.07,70.95,71.79,69.91,12.39M,-1.14%
03/21/2025,3,,,21,2025,21/3/2025,70.88,71.02,71.96,70.17,15.78M,-0.38%
03/20/2025,3,,,20,2025,20/3/2025,71.15,71.04,72.09,70.59,11.82M,0.92%
03/19/2025,3,,,19,2025,19/3/2025,70.5,71.02,71.18,70,9.46M,-0.28%
03/18/2025,3,,,18,2025,18/3/2025,70.7,72.21,72.21,70.27,15.21M,-1.96%
03/17/2025,3,,,17,2025,17/3/2025,72.11,73.43,73.43,71.07,14.95M,-1.96%
03/14/2025,3,,,14,2025,14/3/2025,73.55,72.78,73.68,72.33,8.70M,1.13%
03/13/2025,3,,,13,2025,13/3/2025,72.73,73.2,73.55,72.05,11.25M,-0.26%
03-12-2025,3,12,2025,,,12/3/2025,72.92,73,73.38,71.78,12.11M,-1.50%
03-11-2025,3,11,2025,,,11/3/2025,74.03,75.9,76.26,73.2,14.84M,-2.80%
03-10-2025,3,10,2025,,,10/3/2025,76.16,73,76.29,72.48,25.26M,4.57%
03-07-2025,3,7,2025,,,7/3/2025,72.83,70.18,73.12,70.06,13.47M,4.03%
03-06-2025,3,6,2025,,,6/3/2025,70.01,70.02,70.11,69.02,7.48M,-0.67%
03-05-2025,3,5,2025,,,5/3/2025,70.48,70.53,70.89,69.39,7.72M,-0.52%
03-04-2025,3,4,2025,,,4/3/2025,70.85,71.96,73.08,70.76,17.87M,-1.08%
03-03-2025,3,3,2025,,,3/3/2025,71.62,70.05,71.7,70,9.49M,2.07%
02/28/2025,2,,,28,2025,28/2/2025,70.17,69.59,70.22,69.28,11.25M,1.14%
02/27/2025,2,,,27,2025,27/2/2025,69.38,70.57,70.91,69.31,9.38M,-2.30%
02/26/2025,2,,,26,2025,26/2/2025,71.01,71.19,71.64,70.51,8.01M,-0.38%
02/25/2025,2,,,25,2025,25/2/2025,71.28,71.2,71.71,70.68,14.06M,0.68%
02/24/2025,2,,,24,2025,24/2/2025,70.8,71.3,71.46,69.92,11.97M,-1.09%
02/21/2025,2,,,21,2025,21/2/2025,71.58,70.14,71.97,70.01,16.74M,2.05%
02/20/2025,2,,,20,2025,20/2/2025,70.14,69.08,70.44,68.82,9.34M,1.56%
02/19/2025,2,,,19,2025,19/2/2025,69.06,68.54,69.51,68.41,8.84M,0.82%
02/18/2025,2,,,18,2025,18/2/2025,68.5,68,68.55,67.53,12.09M,0.65%
02/14/2025,2,,,14,2025,14/2/2025,68.06,68.6,69.02,67.88,14.18M,-0.79%
02/13/2025,2,,,13,2025,13/2/2025,68.6,69.42,69.66,68.56,15.17M,-0.98%
02-12-2025,2,12,2025,,,12/2/2025,69.28,69.31,70.19,68.98,8.57M,-1.49%
02-11-2025,2,11,2025,,,11/2/2025,70.33,69.41,70.38,68.71,7.02M,0.90%
02-10-2025,2,10,2025,,,10/2/2025,69.7,68.34,69.74,68.09,9.12M,2.09%
02-07-2025,2,7,2025,,,7/2/2025,68.27,69.14,69.39,68.2,9.32M,-1.44%
02-06-2025,2,6,2025,,,6/2/2025,69.27,69.4,69.62,68.26,9.15M,0.10%
02-05-2025,2,5,2025,,,5/2/2025,69.2,70.75,70.79,69.14,9.03M,-1.00%
02-04-2025,2,4,2025,,,4/2/2025,69.9,70.25,70.85,69.62,10.57M,-1.62%
02-03-2025,2,3,2025,,,3/2/2025,71.05,70.5,71.79,70.19,9.13M,-0.71%
01/31/2025,1,,,31,2025,31/1/2025,71.56,71.51,71.73,70.93,10.71M,0.36%
01/30/2025,1,,,30,2025,30/1/2025,71.3,71.99,72,70.79,8.64M,0.58%
01/29/2025,1,,,29,2025,29/1/2025,70.89,70.75,71.52,70.61,9.50M,0.50%
01/28/2025,1,,,28,2025,28/1/2025,70.54,72.33,72.88,69.92,16.63M,-4.46%
01/27/2025,1,,,27,2025,27/1/2025,73.83,73.3,73.93,70.64,19.13M,1.37%
01/24/2025,1,,,24,2025,24/1/2025,72.83,68.1,74.05,68,24.59M,5.20%
01/23/2025,1,,,23,2025,23/1/2025,69.23,68.85,69.35,68.27,10.78M,1.08%
01/22/2025,1,,,22,2025,22/1/2025,68.49,70.56,70.57,68.34,14.42M,-3.33%
01/21/2025,1,,,21,2025,21/1/2025,70.85,71.36,71.88,70.78,12.15M,0.13%
01/17/2025,1,,,17,2025,17/1/2025,70.76,71.09,71.84,70.74,12.66M,-0.85%
01/16/2025,1,,,16,2025,16/1/2025,71.37,68.96,71.42,68.89,11.47M,3.00%
01/15/2025,1,,,15,2025,15/1/2025,69.29,69.27,70.04,69.01,12.42M,1.93%
01/14/2025,1,,,14,2025,14/1/2025,67.98,66.98,68.01,66.88,10.70M,1.52%
01/13/2025,1,,,13,2025,13/1/2025,66.96,67.22,67.36,65.89,17.06M,-0.62%
01-10-2025,1,10,2025,,,10/1/2025,67.38,69.99,70.07,67.07,16.26M,-4.64%
01-08-2025,1,8,2025,,,8/1/2025,70.66,70.02,70.7,69.46,7.93M,0.33%
01-07-2025,1,7,2025,,,7/1/2025,70.43,71.46,71.9,70.06,8.98M,-1.14%
01-06-2025,1,6,2025,,,6/1/2025,71.24,71.8,71.94,70.84,7.03M,-1.04%
