Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
09-05-2025,9,,,5,2025,5/9/2025,204.5,195.65,208.3,194.65,1.34M,2.76%
09-04-2025,9,,,4,2025,4/9/2025,199,197.65,203.5,194.4,1.05M,0.68%
09-03-2025,9,,,3,2025,3/9/2025,197.65,206,206,195.2,820.53K,-1.37%
09-02-2025,9,,,2,2025,2/9/2025,200.4,203,206.8,196.05,891.76K,0.20%
09-01-2025,9,,,1,2025,1/9/2025,200,200,202.3,196.6,737.40K,3.55%
08/29/2025,8,29,2025,,,29/8/2025,193.15,200,202.9,193.15,1.12M,-3.28%
08/28/2025,8,28,2025,,,28/8/2025,199.7,194,201.2,189.2,1.37M,5.63%
08/27/2025,8,27,2025,,,27/8/2025,189.05,191.7,199.9,186.05,1.40M,-0.18%
08/26/2025,8,26,2025,,,26/8/2025,189.4,184,192.4,181.1,2.70M,5.75%
08/25/2025,8,25,2025,,,25/8/2025,179.1,182,186.55,173.4,3.90M,-16.35%
08/22/2025,8,22,2025,,,22/8/2025,214.1,210.1,215.5,207.3,674.51K,1.95%
08/21/2025,8,21,2025,,,21/8/2025,210,209.7,211.6,205.8,494.82K,0.14%
08/20/2025,8,20,2025,,,20/8/2025,209.7,215,215,209.6,471.46K,-2.24%
08/19/2025,8,19,2025,,,19/8/2025,214.5,212.8,214.9,210.2,727.97K,1.42%
08/18/2025,8,18,2025,,,18/8/2025,211.5,214.4,217.4,210.9,841.37K,1.24%
08/15/2025,8,15,2025,,,15/8/2025,208.9,203.6,209.2,202.4,789.50K,2.70%
08/14/2025,8,14,2025,,,14/8/2025,203.4,208,210.8,197.8,946.71K,-2.12%
08/13/2025,8,13,2025,,,13/8/2025,207.8,213.2,213.2,206.1,1.41M,-2.85%
08-12-2025,8,,,12,2025,12/8/2025,213.9,217.2,218.5,200.1,1.97M,-1.47%
08-11-2025,8,,,11,2025,11/8/2025,217.1,260,260,210.2,5.14M,-29.65%
08-08-2025,8,,,8,2025,8/8/2025,308.6,309.5,314.1,308.6,192.47K,-0.10%
