Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
09-05-2025,09-01-1900,5,2025,,,5/9/2025,1.46,1.46,1.51,1.41,21.56M,1.39%
09-04-2025,09-01-1900,4,2025,,,4/9/2025,1.44,1.49,1.51,1.44,33.97M,-3.36%
09-03-2025,09-01-1900,3,2025,,,3/9/2025,1.49,1.54,1.55,1.48,46.41M,0.68%
09-02-2025,09-01-1900,2,2025,,,2/9/2025,1.48,1.51,1.54,1.46,45.85M,-5.73%
08/29/2025,8,,,29,2025,29/8/2025,1.57,1.62,1.635,1.56,30.02M,-3.68%
08/28/2025,8,,,28,2025,28/8/2025,1.63,1.63,1.67,1.61,26.79M,0.62%
08/27/2025,8,,,27,2025,27/8/2025,1.62,1.66,1.66,1.6,27.50M,-1.82%
08/26/2025,8,,,26,2025,26/8/2025,1.65,1.675,1.695,1.63,38.15M,-1.20%
08/25/2025,8,,,25,2025,25/8/2025,1.67,1.68,1.72,1.64,47.45M,-0.60%
08/22/2025,8,,,22,2025,22/8/2025,1.68,1.545,1.68,1.54,61.46M,9.09%
08/21/2025,8,,,21,2025,21/8/2025,1.54,1.56,1.57,1.52,29.04M,-1.28%
08/20/2025,8,,,20,2025,20/8/2025,1.56,1.57,1.59,1.5,41.27M,-1.27%
08/19/2025,8,,,19,2025,19/8/2025,1.58,1.65,1.665,1.56,41.40M,-4.82%
08/18/2025,8,,,18,2025,18/8/2025,1.66,1.72,1.745,1.63,55.08M,-2.35%
08/15/2025,8,,,15,2025,15/8/2025,1.7,1.66,1.73,1.6,59.60M,3.03%
08/14/2025,8,,,14,2025,14/8/2025,1.65,1.61,1.68,1.58,37.51M,-0.60%
08/13/2025,8,,,13,2025,13/8/2025,1.66,1.52,1.72,1.52,75.62M,7.79%
08-12-2025,08-01-1900,12,2025,,,12/8/2025,1.54,1.56,1.56,1.43,74.30M,-2.53%
08-11-2025,08-01-1900,11,2025,,,11/8/2025,1.58,1.55,1.62,1.53,53.35M,4.64%
08-08-2025,08-01-1900,8,2025,,,8/8/2025,1.51,1.54,1.565,1.5,23.47M,0.00%
08-07-2025,08-01-1900,7,2025,,,7/8/2025,1.51,1.5,1.56,1.46,30.63M,3.42%
08-06-2025,08-01-1900,6,2025,,,6/8/2025,1.46,1.53,1.54,1.45,30.53M,-5.19%
08-05-2025,08-01-1900,5,2025,,,5/8/2025,1.54,1.47,1.57,1.45,35.63M,6.21%
08-04-2025,08-01-1900,4,2025,,,4/8/2025,1.45,1.45,1.48,1.4,33.37M,3.57%
08-01-2025,08-01-1900,1,2025,,,1/8/2025,1.4,1.42,1.48,1.39,55.83M,-6.67%
07/31/2025,7,,,31,2025,31/7/2025,1.5,1.53,1.58,1.47,44.46M,-3.23%
07/30/2025,7,,,30,2025,30/7/2025,1.55,1.605,1.62,1.54,33.63M,-2.52%
07/29/2025,7,,,29,2025,29/7/2025,1.59,1.75,1.76,1.59,61.89M,-10.17%
07/28/2025,7,,,28,2025,28/7/2025,1.77,1.88,1.93,1.73,68.79M,-3.80%
07/25/2025,7,,,25,2025,25/7/2025,1.84,1.81,1.87,1.72,65.03M,3.95%
07/24/2025,7,,,24,2025,24/7/2025,1.77,1.81,1.99,1.74,102.91M,-2.21%
07/23/2025,7,,,23,2025,23/7/2025,1.81,1.865,1.91,1.74,68.10M,-1.63%
07/22/2025,7,,,22,2025,22/7/2025,1.84,1.835,1.92,1.75,76.06M,1.10%
07/21/2025,7,,,21,2025,21/7/2025,1.82,1.88,2.03,1.82,142.89M,1.68%
07/18/2025,7,,,18,2025,18/7/2025,1.79,1.68,1.83,1.67,102.72M,8.48%
07/17/2025,7,,,17,2025,17/7/2025,1.65,1.54,1.69,1.53,72.72M,8.55%
07/16/2025,7,,,16,2025,16/7/2025,1.52,1.55,1.56,1.46,46.96M,-0.65%
07/15/2025,7,,,15,2025,15/7/2025,1.53,1.66,1.68,1.52,61.34M,-2.55%
07/14/2025,7,,,14,2025,14/7/2025,1.57,1.65,1.65,1.5,61.82M,-3.09%
07-11-2025,07-01-1900,11,2025,,,11/7/2025,1.62,1.66,1.69,1.59,56.88M,-3.57%
07-10-2025,07-01-1900,10,2025,,,10/7/2025,1.68,1.76,1.8,1.65,88.66M,-5.62%
07-09-2025,07-01-1900,9,2025,,,9/7/2025,1.78,1.445,1.85,1.435,231.50M,25.35%
07-08-2025,07-01-1900,8,2025,,,8/7/2025,1.42,1.39,1.47,1.39,50.27M,3.65%
07-07-2025,07-01-1900,7,2025,,,7/7/2025,1.37,1.475,1.51,1.35,71.60M,-6.80%
07-03-2025,07-01-1900,3,2025,,,3/7/2025,1.47,1.425,1.55,1.39,81.63M,5.00%
07-02-2025,07-01-1900,2,2025,,,2/7/2025,1.4,1.42,1.49,1.39,67.68M,-0.71%
07-01-2025,07-01-1900,1,2025,,,1/7/2025,1.41,1.45,1.45,1.34,94.95M,-5.37%
06/30/2025,6,,,30,2025,30/6/2025,1.49,1.3,1.57,1.235,250.79M,28.45%
06/27/2025,6,,,27,2025,27/6/2025,1.16,1.23,1.25,1.13,60.43M,-4.92%
06/26/2025,6,,,26,2025,26/6/2025,1.22,1.105,1.27,1.1,102.70M,11.93%
06/25/2025,6,,,25,2025,25/6/2025,1.09,1.18,1.19,1.09,50.44M,-6.03%
06/24/2025,6,,,24,2025,24/6/2025,1.16,1.13,1.2,1.1,83.31M,6.42%
06/23/2025,6,,,23,2025,23/6/2025,1.09,1.08,1.13,1.03,52.65M,-1.80%
06/20/2025,6,,,20,2025,20/6/2025,1.11,1.165,1.19,1.09,71.43M,-2.63%
06/18/2025,6,,,18,2025,18/6/2025,1.14,1.11,1.18,1.11,51.27M,4.59%
06/17/2025,6,,,17,2025,17/6/2025,1.09,1.26,1.27,1.05,94.35M,-16.79%
06/16/2025,6,,,16,2025,16/6/2025,1.31,1.33,1.4,1.28,60.22M,1.55%
06/13/2025,6,,,13,2025,13/6/2025,1.29,1.245,1.34,1.21,60.56M,-0.77%
06-12-2025,06-01-1900,12,2025,,,12/6/2025,1.3,1.365,1.47,1.29,93.60M,-5.80%
06-11-2025,06-01-1900,11,2025,,,11/6/2025,1.38,1.32,1.52,1.27,136.92M,7.81%
06-10-2025,06-01-1900,10,2025,,,10/6/2025,1.28,1.415,1.53,1.26,214.22M,4.92%
06-09-2025,06-01-1900,9,2025,,,9/6/2025,1.22,0.998,1.265,0.99,141.74M,25.88%
06-06-2025,06-01-1900,6,2025,,,6/6/2025,0.969,0.895,1.01,0.894,190.22M,11.21%
06-05-2025,06-01-1900,5,2025,,,5/6/2025,0.872,0.92,0.926,0.861,78.72M,-6.21%
06-04-2025,06-01-1900,4,2025,,,4/6/2025,0.929,0.911,0.95,0.899,83.84M,2.02%
06-03-2025,06-01-1900,3,2025,,,3/6/2025,0.911,0.81,0.958,0.808,187.53M,10.49%
06-02-2025,06-01-1900,2,2025,,,2/6/2025,0.824,0.851,0.862,0.815,134.73M,-6.62%
05/30/2025,5,,,30,2025,30/5/2025,0.883,0.9,0.935,0.87,147.03M,-4.72%
05/29/2025,5,,,29,2025,29/5/2025,0.926,0.943,1.03,0.9,156.53M,0.00%
05/28/2025,5,,,28,2025,28/5/2025,0.927,0.791,0.95,0.785,306.89M,16.82%
05/27/2025,5,,,27,2025,27/5/2025,0.793,0.791,0.82,0.77,119.72M,1.68%
05/23/2025,5,,,23,2025,23/5/2025,0.78,0.777,0.814,0.762,102.51M,-2.49%
05/22/2025,5,,,22,2025,22/5/2025,0.8,0.76,0.8,0.741,118.33M,4.38%
05/21/2025,5,,,21,2025,21/5/2025,0.766,0.79,0.815,0.753,141.12M,-7.12%
05/20/2025,5,,,20,2025,20/5/2025,0.825,0.79,0.848,0.753,166.92M,4.59%
05/19/2025,5,,,19,2025,19/5/2025,0.789,0.763,0.83,0.744,233.11M,2.12%
05/16/2025,5,,,16,2025,16/5/2025,0.772,0.713,0.777,0.69,272.11M,10.44%
05/15/2025,5,,,15,2025,15/5/2025,0.699,0.784,0.784,0.699,267.01M,-10.94%
05/14/2025,5,,,14,2025,14/5/2025,0.785,0.82,0.822,0.761,177.77M,-3.25%
05/13/2025,5,,,13,2025,13/5/2025,0.812,0.88,0.884,0.81,182.06M,-10.17%
05-12-2025,05-01-1900,12,2025,,,12/5/2025,0.904,0.914,0.938,0.862,177.12M,5.01%
05-09-2025,05-01-1900,9,2025,,,9/5/2025,0.86,0.85,0.89,0.77,79.27M,1.19%
05-08-2025,05-01-1900,8,2025,,,8/5/2025,0.85,0.791,0.855,0.789,114.44M,9.66%
05-07-2025,05-01-1900,7,2025,,,7/5/2025,0.775,0.796,0.8,0.764,101.42M,-1.56%
05-06-2025,05-01-1900,6,2025,,,6/5/2025,0.788,0.8,0.815,0.769,101.44M,-0.87%
05-05-2025,05-01-1900,5,2025,,,5/5/2025,0.795,0.839,0.84,0.788,103.36M,-5.74%
05-02-2025,05-01-1900,2,2025,,,2/5/2025,0.843,0.87,0.88,0.832,102.53M,-1.01%
05-01-2025,05-01-1900,1,2025,,,1/5/2025,0.852,0.899,0.913,0.85,119.03M,-2.40%
04/30/2025,4,,,30,2025,30/4/2025,0.873,0.925,0.925,0.849,162.69M,-9.03%
04/29/2025,4,,,29,2025,29/4/2025,0.959,1.08,1.11,0.93,218.00M,-5.96%
04/28/2025,4,,,28,2025,28/4/2025,1.02,1,1.19,0.988,221.99M,25.68%
04/25/2025,4,,,25,2025,25/4/2025,0.812,0.854,0.854,0.801,62.33M,-4.36%
04/24/2025,4,,,24,2025,24/4/2025,0.849,0.85,0.872,0.825,53.65M,0.94%
04/23/2025,4,,,23,2025,23/4/2025,0.841,0.921,0.93,0.833,62.49M,-3.89%
04/22/2025,4,,,22,2025,22/4/2025,0.875,0.818,0.91,0.816,113.83M,10.92%
04/21/2025,4,,,21,2025,21/4/2025,0.789,0.906,0.906,0.76,135.22M,-12.41%
04/17/2025,4,,,17,2025,17/4/2025,0.9,0.925,0.946,0.867,129.03M,-2.26%
04/16/2025,4,,,16,2025,16/4/2025,0.921,0.986,1.01,0.9,132.78M,-7.89%
04/15/2025,4,,,15,2025,15/4/2025,1,1.05,1.07,0.975,105.08M,-5.66%
04/14/2025,4,,,14,2025,14/4/2025,1.06,1.145,1.17,1.05,51.63M,-6.19%
04-11-2025,04-01-1900,11,2025,,,11/4/2025,1.13,1.13,1.15,1.11,21.01M,1.35%
04-10-2025,04-01-1900,10,2025,,,10/4/2025,1.115,1.18,1.18,1.08,35.65M,-7.85%
04-09-2025,04-01-1900,9,2025,,,9/4/2025,1.21,1.13,1.22,1.11,43.92M,8.04%
04-08-2025,04-01-1900,8,2025,,,8/4/2025,1.12,1.29,1.3,1.1,52.73M,-10.04%
04-07-2025,04-01-1900,7,2025,,,7/4/2025,1.245,1.155,1.3,1.15,43.19M,2.05%
04-04-2025,04-01-1900,4,2025,,,4/4/2025,1.22,1.15,1.24,1.08,50.94M,0.83%
04-03-2025,04-01-1900,3,2025,,,3/4/2025,1.21,1.25,1.29,1.2,50.02M,-8.33%
04-02-2025,04-01-1900,2,2025,,,2/4/2025,1.32,1.28,1.35,1.28,34.59M,0.76%
04-01-2025,04-01-1900,1,2025,,,1/4/2025,1.31,1.35,1.36,1.28,57.73M,-2.96%
03/31/2025,3,,,31,2025,31/3/2025,1.35,1.3,1.36,1.26,59.68M,0.75%
03/28/2025,3,,,28,2025,28/3/2025,1.34,1.45,1.46,1.33,72.11M,-6.94%
03/27/2025,3,,,27,2025,27/3/2025,1.44,1.44,1.47,1.41,40.71M,-1.37%
03/26/2025,3,,,26,2025,26/3/2025,1.46,1.535,1.57,1.44,58.84M,-4.58%
03/25/2025,3,,,25,2025,25/3/2025,1.53,1.55,1.63,1.53,44.67M,-0.65%
03/24/2025,3,,,24,2025,24/3/2025,1.54,1.55,1.6,1.54,49.59M,0.65%
03/21/2025,3,,,21,2025,21/3/2025,1.53,1.56,1.59,1.52,56.04M,-3.77%
03/20/2025,3,,,20,2025,20/3/2025,1.59,1.56,1.65,1.55,64.75M,0.63%
03/19/2025,3,,,19,2025,19/3/2025,1.58,1.57,1.675,1.55,98.51M,-2.47%
03/18/2025,3,,,18,2025,18/3/2025,1.62,1.7,1.72,1.61,60.64M,-4.71%
03/17/2025,3,,,17,2025,17/3/2025,1.7,1.66,1.72,1.65,41.16M,2.41%
03/14/2025,3,,,14,2025,14/3/2025,1.66,1.65,1.71,1.625,48.73M,0.61%
03/13/2025,3,,,13,2025,13/3/2025,1.65,1.655,1.75,1.6,52.66M,-0.60%
03-12-2025,03-01-1900,12,2025,,,12/3/2025,1.66,1.715,1.769,1.64,75.07M,-0.60%
03-11-2025,03-01-1900,11,2025,,,11/3/2025,1.67,1.7,1.76,1.59,73.40M,-2.34%
