"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2025","6.160","6.140","6.170","6.110","2.57M","0.65%"
"09/05/2025","6.120","6.120","6.140","6.090","3.09M","0.49%"
"09/04/2025","6.090","6.140","6.140","6.080","3.85M","-0.65%"
"09/03/2025","6.130","6.140","6.150","6.080","4.13M","0.16%"
"09/02/2025","6.120","6.110","6.200","6.110","7.32M","0.49%"
"09/01/2025","6.090","6.090","6.100","6.050","3.00M","0.33%"
"08/29/2025","6.070","6.040","6.090","6.040","3.37M","0.66%"
"08/28/2025","6.030","6.050","6.070","6.020","3.59M","-0.33%"
"08/27/2025","6.050","6.100","6.110","6.030","3.88M","-0.66%"
"08/26/2025","6.090","6.110","6.120","6.030","8.06M","-0.33%"
"08/25/2025","6.110","6.160","6.180","6.110","4.90M","-0.16%"
"08/22/2025","6.120","6.080","6.130","6.060","4.70M","0.66%"
"08/21/2025","6.080","6.070","6.110","6.070","3.47M","0.33%"
"08/20/2025","6.060","6.100","6.160","6.060","5.19M","-0.66%"
"08/19/2025","6.100","6.010","6.130","5.950","7.71M","1.50%"
"08/18/2025","6.010","6.150","6.150","6.010","11.26M","-2.28%"
"08/15/2025","6.150","6.180","6.180","6.060","12.18M","-1.91%"
"08/14/2025","6.270","6.400","6.400","6.260","11.78M","-1.72%"
"08/13/2025","6.380","6.400","6.450","6.350","10.95M","0.47%"
"08/12/2025","6.350","6.460","6.490","6.350","15.51M","-2.16%"
"08/11/2025","6.490","6.690","6.690","6.450","21.94M","-3.42%"
"08/08/2025","6.720","7.050","7.150","6.580","28.39M","-13.85%"
"08/07/2025","7.800","7.720","7.800","7.670","4.69M","1.30%"
"08/06/2025","7.700","7.790","7.820","7.690","4.02M","-1.28%"
"08/05/2025","7.800","7.860","7.930","7.790","2.88M","-0.26%"
"08/04/2025","7.820","7.620","7.830","7.580","3.36M","2.76%"
"08/01/2025","7.610","7.780","7.780","7.610","3.39M","-1.93%"
"07/31/2025","7.760","7.620","7.830","7.610","4.26M","1.84%"
"07/30/2025","7.620","7.700","7.710","7.620","3.68M","-0.65%"
"07/29/2025","7.670","7.650","7.750","7.620","2.73M","-0.13%"
"07/28/2025","7.680","7.750","7.760","7.650","1.97M","-0.52%"
"07/25/2025","7.720","7.780","7.790","7.700","2.98M","-1.53%"
"07/24/2025","7.840","7.830","7.860","7.800","1.75M","0.00%"
"07/23/2025","7.840","7.860","7.860","7.760","1.47M","-0.13%"
"07/22/2025","7.850","7.840","7.850","7.770","1.76M","0.38%"
"07/21/2025","7.820","7.760","7.840","7.760","2.03M","0.77%"
"07/18/2025","7.760","7.750","7.770","7.700","2.71M","0.91%"
"07/17/2025","7.690","7.720","7.760","7.620","3.59M","-0.26%"
"07/16/2025","7.710","7.640","7.720","7.630","1.94M","1.45%"
"07/15/2025","7.600","7.550","7.630","7.550","3.43M","1.20%"
"07/14/2025","7.510","7.400","7.540","7.400","3.72M","1.49%"
"07/11/2025","7.400","7.530","7.530","7.400","2.33M","-1.07%"
"07/10/2025","7.480","7.500","7.550","7.470","2.42M","0.54%"
"07/09/2025","7.440","7.470","7.500","7.410","3.55M","-0.40%"
"07/08/2025","7.470","7.380","7.500","7.370","5.98M","1.63%"
"07/07/2025","7.350","7.160","7.360","7.160","3.87M","2.94%"
"07/04/2025","7.140","7.200","7.210","7.120","2.43M","-0.70%"
"07/03/2025","7.190","7.080","7.200","7.060","2.02M","0.98%"
"07/02/2025","7.120","6.950","7.120","6.950","4.30M","2.74%"
"07/01/2025","6.930","6.900","7.010","6.870","3.48M","1.17%"
"06/30/2025","6.850","6.850","6.890","6.820","2.88M","0.29%"
"06/27/2025","6.830","6.930","6.940","6.810","3.28M","-1.01%"
"06/26/2025","6.900","6.870","6.910","6.800","5.07M","0.88%"
"06/25/2025","6.840","6.890","6.920","6.760","4.23M","-0.15%"
"06/24/2025","6.850","6.930","6.970","6.840","3.42M","0.00%"
"06/23/2025","6.850","6.990","6.990","6.830","3.12M","-2.14%"
"06/20/2025","7.000","6.910","7.040","6.890","4.50M","1.60%"
"06/19/2025","6.890","7.000","7.020","6.880","2.07M","-1.85%"
"06/18/2025","7.020","7.030","7.080","6.990","1.52M","-0.28%"
"06/17/2025","7.040","7.050","7.090","7.010","1.75M","0.43%"
"06/16/2025","7.010","6.900","7.110","6.900","4.05M","1.74%"
"06/13/2025","6.890","6.780","6.930","6.780","2.73M","1.32%"
"06/12/2025","6.800","6.760","6.820","6.750","1.61M","0.74%"
"06/11/2025","6.750","6.820","6.830","6.750","2.33M","-1.17%"
"06/10/2025","6.830","6.790","6.860","6.750","1.48M","0.59%"
"06/09/2025","6.790","6.880","6.900","6.790","1.43M","-0.88%"
"06/06/2025","6.850","6.650","6.860","6.640","4.34M","3.01%"
"06/05/2025","6.650","6.510","6.650","6.480","4.04M","1.99%"
"06/04/2025","6.520","6.580","6.580","6.520","1.88M","-0.76%"
"06/03/2025","6.570","6.600","6.630","6.540","1.90M","-0.15%"
"06/02/2025","6.580","6.630","6.640","6.500","2.54M","-0.60%"
"05/30/2025","6.620","6.690","6.690","6.580","11.04M","-1.05%"
"05/29/2025","6.690","6.690","6.690","6.630","1.93M","0.75%"
"05/28/2025","6.640","6.730","6.730","6.640","2.77M","-1.04%"
"05/27/2025","6.710","6.650","6.710","6.630","2.09M","0.90%"
"05/26/2025","6.650","6.570","6.680","6.570","1.40M","1.37%"
"05/23/2025","6.560","6.630","6.670","6.540","3.08M","-1.50%"
"05/22/2025","6.660","6.690","6.730","6.640","3.41M","-0.60%"
"05/21/2025","6.700","6.580","6.720","6.550","2.00M","2.60%"
"05/20/2025","6.530","6.590","6.660","6.520","2.02M","-1.06%"
"05/19/2025","6.600","6.610","6.750","6.590","2.74M","-0.15%"
"05/16/2025","6.610","6.530","6.630","6.480","2.58M","1.54%"
"05/15/2025","6.510","6.580","6.660","6.450","3.77M","-0.76%"
"05/14/2025","6.560","6.570","6.610","6.540","3.90M","-0.15%"
"05/13/2025","6.570","6.630","6.690","6.560","4.23M","-0.30%"
"05/09/2025","6.590","6.640","6.650","6.500","3.32M","1.23%"
"05/08/2025","6.510","6.550","6.550","6.420","4.36M","-1.06%"
"05/07/2025","6.580","6.610","6.630","6.550","3.61M","0.00%"
"05/06/2025","6.580","6.580","6.620","6.510","1.25M","0.00%"
"05/05/2025","6.580","6.560","6.620","6.480","2.14M","-0.30%"
"05/02/2025","6.600","6.620","6.680","6.550","3.30M","0.00%"
"04/30/2025","6.600","6.420","6.600","6.420","4.27M","-0.30%"
"04/29/2025","6.620","6.490","6.650","6.460","4.83M","2.64%"
"04/28/2025","6.450","6.480","6.480","6.410","2.03M","0.00%"
"04/25/2025","6.450","6.550","6.580","6.440","2.30M","-0.31%"
"04/24/2025","6.470","6.340","6.510","6.340","4.76M","2.21%"
"04/23/2025","6.330","6.380","6.410","6.320","2.78M","-0.16%"
"04/22/2025","6.340","6.330","6.400","6.280","2.46M","0.00%"
"04/21/2025","6.340","6.400","6.410","6.320","1.94M","-0.16%"
"04/17/2025","6.350","6.340","6.390","6.300","2.98M","0.63%"
"04/16/2025","6.310","6.140","6.320","6.140","3.79M","2.27%"
"04/15/2025","6.170","6.170","6.210","6.100","2.94M","0.65%"
"04/14/2025","6.130","6.260","6.290","6.130","2.91M","-1.29%"
"04/11/2025","6.210","6.040","6.270","5.970","4.63M","1.47%"
"04/10/2025","6.120","6.300","6.430","6.110","6.01M","1.32%"
"04/09/2025","6.040","6.030","6.120","5.910","6.07M","-3.05%"
"04/08/2025","6.230","5.900","6.260","5.880","10.30M","7.60%"
"04/07/2025","5.790","6.140","6.140","5.740","9.80M","-9.67%"
"04/04/2025","6.410","6.620","6.700","6.410","6.31M","-3.17%"
"04/03/2025","6.620","6.490","6.690","6.450","5.50M","0.61%"
"04/02/2025","6.580","6.430","6.650","6.390","7.20M","2.49%"
"04/01/2025","6.420","6.390","6.490","6.340","4.69M","1.26%"
"03/28/2025","6.340","6.400","6.420","6.330","2.10M","-0.47%"
"03/27/2025","6.370","6.420","6.440","6.340","3.31M","-0.47%"
"03/26/2025","6.400","6.360","6.410","6.300","3.23M","1.11%"
"03/25/2025","6.330","6.380","6.440","6.300","3.42M","0.32%"
"03/24/2025","6.310","6.400","6.400","6.290","2.55M","-0.79%"
"03/21/2025","6.360","6.340","6.360","6.230","5.71M","0.79%"
"03/20/2025","6.310","6.200","6.350","6.190","4.56M","2.60%"
"03/19/2025","6.150","6.260","6.300","6.150","3.84M","-0.81%"
"03/18/2025","6.200","6.310","6.400","6.180","5.49M","1.64%"
"03/17/2025","6.100","6.020","6.140","5.990","3.80M","2.35%"
"03/14/2025","5.960","6.020","6.040","5.790","7.33M","-2.13%"
"03/13/2025","6.090","6.020","6.100","6.000","4.38M","0.66%"
"03/12/2025","6.050","5.990","6.110","5.990","5.25M","-0.49%"
"03/11/2025","6.080","6.100","6.130","5.960","5.21M","-2.25%"
"03/10/2025","6.220","6.290","6.300","6.200","2.58M","-1.27%"
"03/07/2025","6.300","6.220","6.330","6.210","3.21M","-0.32%"
"03/06/2025","6.320","6.380","6.450","6.280","5.29M","-0.47%"
"03/05/2025","6.350","6.270","6.360","6.170","4.22M","1.60%"
"03/04/2025","6.250","6.200","6.300","6.200","4.65M","-1.11%"
"03/03/2025","6.320","6.090","6.320","6.090","8.95M","3.78%"
