"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2025","383.45","385.80","387.75","382.65","2.98M","-0.61%"
"09/05/2025","385.80","382.60","386.50","380.10","3.36M","0.84%"
"09/04/2025","382.60","390.05","392.00","381.75","4.11M","-1.68%"
"09/03/2025","389.15","386.05","389.70","385.70","2.63M","0.80%"
"09/02/2025","386.05","380.90","388.40","380.00","3.36M","1.45%"
"09/01/2025","380.55","374.15","381.00","374.15","2.17M","1.71%"
"08/29/2025","374.15","371.10","375.00","368.50","5.79M","0.82%"
"08/28/2025","371.10","377.75","378.50","370.25","5.70M","-1.76%"
"08/26/2025","377.75","382.15","383.60","376.60","5.56M","-1.44%"
"08/25/2025","383.25","386.05","388.40","382.40","4.22M","-0.61%"
"08/22/2025","385.60","387.00","388.70","384.70","3.04M","-0.63%"
"08/21/2025","388.05","390.10","392.30","386.80","2.55M","-0.64%"
"08/20/2025","390.55","388.95","392.45","388.05","3.05M","0.36%"
"08/19/2025","389.15","387.35","389.65","386.50","2.05M","0.48%"
"08/18/2025","387.30","389.00","390.00","385.30","3.71M","0.52%"
"08/14/2025","385.30","387.20","388.60","383.15","2.66M","-0.49%"
"08/13/2025","387.20","385.50","388.95","384.40","3.76M","0.72%"
"08/12/2025","384.45","384.10","388.95","383.50","2.58M","0.04%"
"08/11/2025","384.30","380.00","385.90","377.50","3.33M","1.45%"
"08/08/2025","378.80","385.55","387.10","376.00","3.50M","-1.75%"
