Date,Price
08-09-2025,6.3598
07-09-2025,6.374
05-09-2025,6.371
04-09-2025,6.4079
03-09-2025,6.4013
02-09-2025,6.4116
01-09-2025,6.3729
29-08-2025,6.3876
28-08-2025,6.3894
27-08-2025,6.4143
26-08-2025,6.4123
25-08-2025,6.4246
22-08-2025,6.369
21-08-2025,6.4325
20-08-2025,6.4064
19-08-2025,6.4093
18-08-2025,6.4014
15-08-2025,6.3761
14-08-2025,6.4083
13-08-2025,6.3758
12-08-2025,6.3919
11-08-2025,6.4256
08-08-2025,6.4115
07-08-2025,6.3988
06-08-2025,6.4013
05-08-2025,6.4466
04-08-2025,6.4482
01-08-2025,6.4408
31-07-2025,6.5392
30-07-2025,6.5444
29-07-2025,6.464
28-07-2025,6.4394
25-07-2025,6.3567
24-07-2025,6.3544
23-07-2025,6.34
22-07-2025,6.3502
21-07-2025,6.3831
18-07-2025,6.4217
17-07-2025,6.4362
16-07-2025,6.4122
15-07-2025,6.4335
14-07-2025,6.3988
11-07-2025,6.3833
10-07-2025,6.3767
09-07-2025,6.366
08-07-2025,6.363
07-07-2025,6.372
04-07-2025,6.3344
03-07-2025,6.3464
02-07-2025,6.3241
01-07-2025,6.3199
30-06-2025,6.3299
27-06-2025,6.3656
26-06-2025,6.377
25-06-2025,6.3992
24-06-2025,6.426
23-06-2025,6.4432
20-06-2025,6.4736
19-06-2025,6.4886
18-06-2025,6.4975
17-06-2025,6.4971
16-06-2025,6.4518
13-06-2025,6.4568
12-06-2025,6.4384
11-06-2025,6.4938
10-06-2025,6.5292
09-06-2025,6.5324
06-06-2025,6.5453
05-06-2025,6.5179
04-06-2025,6.5323
03-06-2025,6.5605
02-06-2025,6.5203
30-05-2025,6.5733
29-05-2025,6.5618
28-05-2025,6.6035
27-05-2025,6.5824
26-05-2025,6.5507
23-05-2025,6.5642
22-05-2025,6.6125
21-05-2025,6.5845
20-05-2025,6.611
19-05-2025,6.6352
16-05-2025,6.6833
15-05-2025,6.6697
14-05-2025,6.6773
13-05-2025,6.6687
12-05-2025,6.7279
09-05-2025,6.6321
08-05-2025,6.6444
07-05-2025,6.6028
06-05-2025,6.5625
05-05-2025,6.5956
02-05-2025,6.6049
01-05-2025,6.6101
30-04-2025,6.5903
29-04-2025,6.5562
28-04-2025,6.5354
25-04-2025,6.5691
24-04-2025,6.5559
23-04-2025,6.5986
22-04-2025,6.5379
21-04-2025,6.4836
18-04-2025,6.5514
17-04-2025,6.5676
16-04-2025,6.5502
15-04-2025,6.6156
14-04-2025,6.5775
11-04-2025,6.5732
10-04-2025,6.6664
09-04-2025,6.8178
08-04-2025,6.8136
07-04-2025,6.8455
04-04-2025,6.8047
03-04-2025,6.7509
02-04-2025,6.8729
01-04-2025,6.9139
31-03-2025,6.8969
28-03-2025,6.8899
27-03-2025,6.9073
26-03-2025,6.9365
25-03-2025,6.914
24-03-2025,6.9063
21-03-2025,6.8972
20-03-2025,6.8727
19-03-2025,6.8412
18-03-2025,6.8148
17-03-2025,6.8304
14-03-2025,6.8578
13-03-2025,6.8734
12-03-2025,6.8507
11-03-2025,6.8306
10-03-2025,6.8832
07-03-2025,6.884
06-03-2025,6.9162
05-03-2025,6.9122
04-03-2025,7.0191
03-03-2025,7.11
28-02-2025,7.1859
27-02-2025,7.172
26-02-2025,7.113
25-02-2025,7.094
24-02-2025,7.1255
21-02-2025,7.129
20-02-2025,7.1013
19-02-2025,7.1556
18-02-2025,7.1394
17-02-2025,7.1141
14-02-2025,7.1098
13-02-2025,7.1275
12-02-2025,7.1835
11-02-2025,7.1982
10-02-2025,7.2362
07-02-2025,7.2225
06-02-2025,7.1859
05-02-2025,7.1712
04-02-2025,7.1866
03-02-2025,7.2119
31-01-2025,7.2015
30-01-2025,7.1805
29-01-2025,7.16
28-01-2025,7.1532
27-01-2025,7.112
24-01-2025,7.11
23-01-2025,7.1623
22-01-2025,7.1663
21-01-2025,7.1556
20-01-2025,7.1626
17-01-2025,7.2641
16-01-2025,7.2407
15-01-2025,7.2513
14-01-2025,7.2375
13-01-2025,7.2812
10-01-2025,7.2814
09-01-2025,7.2432
08-01-2025,7.2304
07-01-2025,7.2144
06-01-2025,7.1782
03-01-2025,7.2339
02-01-2025,7.2645
01-01-2025,7.2012
31-12-2024,7.2022
30-12-2024,7.1655
27-12-2024,7.1517
26-12-2024,7.1575
25-12-2024,7.1725
24-12-2024,7.1745
23-12-2024,7.1677
20-12-2024,7.1504
19-12-2024,7.1972
18-12-2024,7.2062
17-12-2024,7.1096
16-12-2024,7.0955
13-12-2024,7.0993
12-12-2024,7.1236
11-12-2024,7.104
10-12-2024,7.083
09-12-2024,7.0655
06-12-2024,7.055
05-12-2024,7.0438
04-12-2024,7.0949
03-12-2024,7.0957
02-12-2024,7.1039
29-11-2024,7.0511
28-11-2024,7.0658
27-11-2024,7.0579
26-11-2024,7.1102
25-11-2024,7.106
22-11-2024,7.1569
21-11-2024,7.1201
20-11-2024,7.0741
19-11-2024,7.0391
18-11-2024,7.0377
15-11-2024,7.0749
14-11-2024,7.0828
13-11-2024,7.0608
12-11-2024,7.0212
11-11-2024,6.9997
08-11-2024,6.9562
07-11-2024,6.9028
06-11-2024,6.9505
05-11-2024,6.8227
04-11-2024,6.8552
01-11-2024,6.8834
31-10-2024,6.8526
30-10-2024,6.8705
29-10-2024,6.8956
28-10-2024,6.8966
25-10-2024,6.9106
24-10-2024,6.8892
23-10-2024,6.917
22-10-2024,6.9046
21-10-2024,6.8944
18-10-2024,6.8628
17-10-2024,6.8852
16-10-2024,6.8672
15-10-2024,6.85
14-10-2024,6.839
11-10-2024,6.8199
10-10-2024,6.821
09-10-2024,6.8182
08-10-2024,6.7913
07-10-2024,6.7926
