"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2025","7.7937","7.7968","7.7995","7.7905","","-0.06%"
"09/07/2025","7.7987","7.7968","7.7988","7.7977","","0.02%"
"09/05/2025","7.7970","7.8009","7.8039","7.7953","","-0.05%"
"09/04/2025","7.8009","7.8002","7.8022","7.7962","","0.01%"
"09/03/2025","7.8002","7.8069","7.8124","7.7990","","-0.09%"
"09/02/2025","7.8071","7.7971","7.8082","7.7962","","0.13%"
"09/01/2025","7.7970","7.7973","7.7978","7.7901","","0.00%"
"08/29/2025","7.7973","7.7947","7.7975","7.7854","","0.05%"
"08/28/2025","7.7937","7.7859","7.7977","7.7835","","0.10%"
"08/27/2025","7.7863","7.7932","7.7952","7.7754","","-0.09%"
"08/26/2025","7.7934","7.8118","7.8133","7.7928","","-0.24%"
"08/25/2025","7.8120","7.8145","7.8170","7.8042","","-0.03%"
"08/22/2025","7.8145","7.8141","7.8197","7.8095","","0.01%"
"08/21/2025","7.8140","7.8126","7.8148","7.8061","","0.02%"
"08/20/2025","7.8126","7.7991","7.8166","7.7983","","0.17%"
"08/19/2025","7.7991","7.8197","7.8218","7.7927","","-0.26%"
"08/18/2025","7.8197","7.8259","7.8320","7.8155","","-0.08%"
"08/15/2025","7.8259","7.8333","7.8443","7.8118","","-0.09%"
"08/14/2025","7.8333","7.8498","7.8499","7.8317","","-0.21%"
"08/13/2025","7.8498","7.8502","7.8503","7.8483","","0.00%"
"08/12/2025","7.8500","7.8501","7.8503","7.8496","","0.00%"
"08/11/2025","7.8502","7.8500","7.8503","7.8495","","0.01%"
"08/08/2025","7.8498","7.8499","7.8503","7.8491","","0.00%"
