Date,Price,Open,High,Low,Vol.,Change %
09-08-2025,56.71,56.75,56.904,56.67,,0.02%
09-07-2025,56.697,56.7,56.7,56.697,,0.00%
09-05-2025,56.695,57.066,57.16,56.567,,-0.81%
09-04-2025,57.159,57.298,57.344,57.093,,-0.18%
09-03-2025,57.261,57.422,57.504,57.176,,-0.30%
09-02-2025,57.432,57.229,57.482,57.152,,0.41%
09-01-2025,57.196,57.164,57.345,57.118,,0.09%
08/29/2025,57.146,56.935,57.265,56.923,,0.36%
08/28/2025,56.941,57.165,57.184,56.92,,-0.40%
08/27/2025,57.172,56.923,57.284,56.921,,0.36%
08/26/2025,56.968,56.736,57.074,56.667,,0.43%
08/25/2025,56.722,56.6,56.772,56.557,,0.47%
08/22/2025,56.457,57.08,57.171,56.414,,-1.27%
08/21/2025,57.185,57.057,57.248,56.931,,0.14%
08/20/2025,57.105,57.095,57.304,56.933,,-0.24%
08/19/2025,57.24,56.966,57.261,56.966,,0.38%
08/18/2025,57.021,57.006,57.13,56.917,,-0.08%
08/15/2025,57.064,57.058,57.182,56.936,,-0.03%
08/14/2025,57.08,56.651,57.114,56.564,,0.79%
08/13/2025,56.634,56.93,57.006,56.585,,-0.46%
08-12-2025,56.897,57.074,57.23,56.851,,-0.31%
08-11-2025,57.075,56.97,57.205,56.887,,0.36%
08-08-2025,56.87,57.085,57.206,56.741,,-0.41%
08-07-2025,57.103,57.335,57.366,57.004,,-0.40%
08-06-2025,57.335,57.52,57.761,57.229,,-0.32%
08-05-2025,57.52,57.4,57.768,57.259,,0.31%
08-04-2025,57.341,57.736,57.8,57.156,,-0.66%
08-01-2025,57.72,58.343,58.582,57.706,,-0.88%
07/31/2025,58.232,57.833,58.426,57.775,,0.67%
07/30/2025,57.845,57.247,57.933,57.141,,0.92%
07/29/2025,57.315,57.153,57.471,57.153,,0.26%
07/28/2025,57.164,57.141,57.232,57.002,,0.01%
07/25/2025,57.158,56.778,57.195,56.778,,0.68%
07/24/2025,56.77,56.76,56.871,56.592,,-0.04%
07/23/2025,56.791,56.888,57.01,56.791,,-0.29%
07/22/2025,56.955,57.07,57.076,56.903,,-0.17%
07/21/2025,57.05,57.158,57.243,56.975,,0.07%
07/18/2025,57.01,57.239,57.299,57.001,,-0.35%
07/17/2025,57.21,57.059,57.334,56.963,,0.39%
07/16/2025,56.99,56.775,57.16,56.775,,0.38%
07/15/2025,56.775,56.694,56.849,56.618,,0.14%
07/14/2025,56.694,56.496,56.737,56.454,,0.32%
07-11-2025,56.515,56.482,56.546,56.427,,0.04%
