"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2015","3.7525","3.7535","3.7543","3.7505","","0.00%"
"12/30/2015","3.7525","3.7492","3.7541","3.7487","","0.08%"
"12/29/2015","3.7495","3.7511","3.7532","3.7493","","-0.03%"
"12/28/2015","3.7505","3.7515","3.7535","3.7503","","0.00%"
"12/27/2015","3.7506","3.7511","3.7538","3.7504","","0.00%"
"12/26/2015","3.7506","3.7506","3.7506","3.7506","","0.00%"
"12/25/2015","3.7506","3.7531","3.7534","3.7504","","-0.03%"
"12/24/2015","3.7517","3.7502","3.7538","3.7502","","0.03%"
"12/23/2015","3.7504","3.7528","3.7542","3.7500","","-0.05%"
"12/22/2015","3.7523","3.7534","3.7551","3.7502","","-0.02%"
"12/21/2015","3.7530","3.7531","3.7550","3.7513","","0.00%"
"12/20/2015","3.7530","3.7511","3.7530","3.7505","","0.02%"
"12/19/2015","3.7523","3.7523","3.7523","3.7523","","0.00%"
"12/18/2015","3.7523","3.7496","3.7542","3.7491","","0.06%"
"12/17/2015","3.7501","3.7517","3.7522","3.7493","","-0.05%"
"12/16/2015","3.7520","3.7512","3.7525","3.7497","","0.02%"
"12/15/2015","3.7511","3.7525","3.7531","3.7502","","-0.02%"
"12/14/2015","3.7520","3.7521","3.7528","3.7506","","0.01%"
"12/13/2015","3.7516","3.7515","3.7525","3.7496","","0.00%"
"12/12/2015","3.7515","3.7515","3.7515","3.7515","","0.00%"
"12/11/2015","3.7515","3.7514","3.7517","3.7495","","-0.01%"
"12/10/2015","3.7520","3.7517","3.7525","3.7493","","0.01%"
"12/09/2015","3.7515","3.7505","3.7532","3.7500","","0.03%"
"12/08/2015","3.7504","3.7517","3.7527","3.7498","","-0.03%"
"12/07/2015","3.7515","3.7513","3.7528","3.7495","","0.01%"
"12/06/2015","3.7513","3.7523","3.7528","3.7495","","-0.02%"
"12/05/2015","3.7520","3.7520","3.7520","3.7520","","0.00%"
"12/04/2015","3.7520","3.7518","3.7526","3.7508","","-0.01%"
"12/03/2015","3.7523","3.7520","3.7525","3.7505","","0.01%"
"12/02/2015","3.7518","3.7520","3.7534","3.7502","","0.00%"
"12/01/2015","3.7518","3.7523","3.7534","3.7505","","-0.01%"
"11/30/2015","3.7521","3.7530","3.7545","3.7515","","-0.05%"
"11/29/2015","3.7538","3.7538","3.7538","3.7538","","0.00%"
"11/28/2015","3.7538","3.7538","3.7538","3.7538","","0.00%"
"11/27/2015","3.7538","3.7532","3.7550","3.7527","","0.01%"
"11/26/2015","3.7536","3.7546","3.7571","3.7508","","-0.06%"
"11/25/2015","3.7557","3.7567","3.7575","3.7531","","-0.03%"
"11/24/2015","3.7568","3.7509","3.7603","3.7495","","0.16%"
"11/23/2015","3.7508","3.7503","3.7516","3.7501","","0.00%"
"11/22/2015","3.7508","3.7505","3.7511","3.7505","","0.01%"
"11/21/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"11/20/2015","3.7503","3.7500","3.7508","3.7500","","0.00%"
"11/19/2015","3.7503","3.7503","3.7515","3.7493","","0.01%"
"11/18/2015","3.7500","3.7510","3.7521","3.7492","","0.00%"
"11/17/2015","3.7500","3.7511","3.7521","3.7492","","-0.01%"
"11/16/2015","3.7502","3.7510","3.7521","3.7500","","0.01%"
"11/15/2015","3.7500","3.7511","3.7511","3.7491","","-0.01%"
"11/14/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"11/13/2015","3.7503","3.7497","3.7504","3.7491","","0.00%"
"11/12/2015","3.7502","3.7501","3.7515","3.7492","","0.01%"
"11/11/2015","3.7500","3.7499","3.7512","3.7491","","-0.01%"
"11/10/2015","3.7504","3.7508","3.7517","3.7494","","0.00%"
