"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2025","1.2835","1.2843","1.2863","1.2820","","-0.16%"
"09/07/2025","1.2856","1.2843","1.2862","1.2843","","0.06%"
"09/05/2025","1.2848","1.2901","1.2902","1.2820","","-0.40%"
"09/04/2025","1.2900","1.2879","1.2908","1.2873","","0.16%"
"09/03/2025","1.2879","1.2885","1.2909","1.2866","","-0.05%"
"09/02/2025","1.2885","1.2841","1.2908","1.2833","","0.34%"
"09/01/2025","1.2841","1.2837","1.2851","1.2822","","0.02%"
"08/29/2025","1.2838","1.2822","1.2862","1.2818","","0.09%"
"08/28/2025","1.2826","1.2860","1.2867","1.2813","","-0.27%"
"08/27/2025","1.2861","1.2852","1.2900","1.2847","","0.07%"
"08/26/2025","1.2852","1.2857","1.2872","1.2826","","-0.04%"
"08/25/2025","1.2857","1.2814","1.2866","1.2808","","0.34%"
"08/22/2025","1.2814","1.2885","1.2903","1.2799","","-0.55%"
"08/21/2025","1.2885","1.2855","1.2898","1.2847","","0.23%"
"08/20/2025","1.2855","1.2853","1.2868","1.2838","","0.02%"
"08/19/2025","1.2852","1.2847","1.2859","1.2824","","0.05%"
"08/18/2025","1.2845","1.2827","1.2849","1.2816","","0.10%"
"08/15/2025","1.2832","1.2849","1.2851","1.2810","","-0.12%"
"08/14/2025","1.2847","1.2805","1.2854","1.2786","","0.34%"
"08/13/2025","1.2804","1.2837","1.2841","1.2788","","-0.24%"
"08/12/2025","1.2835","1.2873","1.2875","1.2813","","-0.29%"
"08/11/2025","1.2872","1.2847","1.2880","1.2831","","0.14%"
"08/08/2025","1.2854","1.2830","1.2864","1.2822","","0.16%"
"08/07/2025","1.2833","1.2854","1.2866","1.2818","","-0.18%"
"08/06/2025","1.2856","1.2877","1.2885","1.2841","","-0.16%"
"08/05/2025","1.2877","1.2881","1.2898","1.2861","","-0.03%"
"08/04/2025","1.2881","1.2887","1.2904","1.2861","","-0.05%"
"08/01/2025","1.2887","1.2982","1.3003","1.2871","","-0.73%"
"07/31/2025","1.2982","1.2971","1.2993","1.2929","","0.08%"
"07/30/2025","1.2971","1.2878","1.2975","1.2854","","0.71%"
"07/29/2025","1.2879","1.2867","1.2899","1.2856","","0.08%"
"07/28/2025","1.2869","1.2814","1.2874","1.2797","","0.43%"
"07/25/2025","1.2814","1.2777","1.2826","1.2771","","0.29%"
"07/24/2025","1.2777","1.2767","1.2786","1.2745","","0.08%"
"07/23/2025","1.2767","1.2784","1.2798","1.2761","","-0.13%"
"07/22/2025","1.2784","1.2803","1.2828","1.2777","","-0.15%"
"07/21/2025","1.2803","1.2849","1.2858","1.2795","","-0.40%"
"07/18/2025","1.2854","1.2861","1.2862","1.2815","","-0.05%"
"07/17/2025","1.2861","1.2831","1.2883","1.2822","","0.23%"
"07/16/2025","1.2831","1.2855","1.2877","1.2791","","-0.19%"
"07/15/2025","1.2855","1.2821","1.2863","1.2800","","0.27%"
"07/14/2025","1.2821","1.2803","1.2831","1.2796","","0.14%"
"07/11/2025","1.2803","1.2797","1.2821","1.2788","","0.05%"
"07/10/2025","1.2796","1.2801","1.2822","1.2784","","-0.05%"
"07/09/2025","1.2803","1.2792","1.2824","1.2792","","0.09%"
"07/08/2025","1.2792","1.2799","1.2820","1.2762","","-0.05%"
"07/07/2025","1.2799","1.2744","1.2809","1.2737","","0.43%"
"07/04/2025","1.2744","1.2755","1.2761","1.2731","","-0.09%"
"07/03/2025","1.2755","1.2728","1.2787","1.2714","","0.20%"
"07/02/2025","1.2729","1.2729","1.2752","1.2723","","0.02%"
"07/01/2025","1.2727","1.2715","1.2744","1.2697","","0.09%"
"06/30/2025","1.2715","1.2760","1.2771","1.2708","","-0.35%"
"06/27/2025","1.2760","1.2742","1.2780","1.2731","","0.16%"
"06/26/2025","1.2740","1.2783","1.2790","1.2716","","-0.34%"
"06/25/2025","1.2783","1.2798","1.2824","1.2774","","-0.12%"
"06/24/2025","1.2798","1.2843","1.2845","1.2779","","-0.35%"
"06/23/2025","1.2843","1.2875","1.2942","1.2837","","-0.25%"
"06/20/2025","1.2875","1.2868","1.2879","1.2836","","0.05%"
"06/19/2025","1.2868","1.2856","1.2896","1.2846","","0.09%"
"06/18/2025","1.2856","1.2862","1.2874","1.2826","","-0.05%"
"06/17/2025","1.2862","1.2803","1.2875","1.2800","","0.46%"
"06/16/2025","1.2803","1.2817","1.2838","1.2775","","-0.11%"
"06/13/2025","1.2817","1.2790","1.2850","1.2775","","0.21%"
"06/12/2025","1.2790","1.2845","1.2848","1.2761","","-0.43%"
"06/11/2025","1.2845","1.2873","1.2883","1.2830","","-0.19%"
"06/10/2025","1.2869","1.2862","1.2887","1.2849","","0.05%"
"06/09/2025","1.2862","1.2895","1.2898","1.2841","","-0.26%"
"06/06/2025","1.2895","1.2857","1.2906","1.2845","","0.30%"
"06/05/2025","1.2857","1.2863","1.2878","1.2815","","-0.03%"
"06/04/2025","1.2861","1.2895","1.2921","1.2847","","-0.26%"
"06/03/2025","1.2895","1.2853","1.2902","1.2845","","0.33%"
"06/02/2025","1.2853","1.2912","1.2917","1.2847","","-0.46%"
"05/30/2025","1.2912","1.2872","1.2923","1.2850","","0.30%"
"05/29/2025","1.2873","1.2898","1.2982","1.2855","","-0.16%"
"05/28/2025","1.2893","1.2887","1.2908","1.2871","","0.05%"
"05/27/2025","1.2887","1.2841","1.2896","1.2820","","0.36%"
"05/26/2025","1.2841","1.2851","1.2858","1.2800","","-0.02%"
"05/23/2025","1.2843","1.2927","1.2935","1.2836","","-0.65%"
"05/22/2025","1.2927","1.2896","1.2934","1.2877","","0.24%"
"05/21/2025","1.2896","1.2950","1.2955","1.2872","","-0.42%"
"05/20/2025","1.2950","1.2946","1.2972","1.2933","","0.02%"
"05/19/2025","1.2948","1.2999","1.3002","1.2933","","-0.39%"
"05/16/2025","1.2999","1.2980","1.3011","1.2941","","0.20%"
"05/15/2025","1.2973","1.3015","1.3020","1.2958","","-0.32%"
"05/14/2025","1.3015","1.3010","1.3042","1.2950","","0.03%"
"05/13/2025","1.3011","1.3062","1.3068","1.3007","","-0.39%"
"05/12/2025","1.3062","1.2984","1.3088","1.2967","","0.62%"
"05/09/2025","1.2981","1.3007","1.3032","1.2960","","-0.20%"
"05/08/2025","1.3007","1.2947","1.3021","1.2927","","0.46%"
"05/07/2025","1.2947","1.2878","1.2960","1.2876","","0.54%"
"05/06/2025","1.2878","1.2894","1.2973","1.2871","","-0.16%"
"05/05/2025","1.2899","1.2981","1.2987","1.2860","","-0.59%"
"05/02/2025","1.2976","1.3114","1.3125","1.2906","","-1.05%"
"05/01/2025","1.3114","1.3066","1.3131","1.3051","","0.37%"
"04/30/2025","1.3066","1.3086","1.3091","1.3042","","-0.15%"
"04/29/2025","1.3086","1.3087","1.3107","1.3058","","0.01%"
"04/28/2025","1.3085","1.3155","1.3168","1.3080","","-0.54%"
"04/25/2025","1.3156","1.3113","1.3162","1.3110","","0.33%"
"04/24/2025","1.3113","1.3158","1.3166","1.3103","","-0.34%"
"04/23/2025","1.3158","1.3114","1.3171","1.3089","","0.34%"
"04/22/2025","1.3114","1.3051","1.3121","1.3036","","0.49%"
"04/21/2025","1.3050","1.3112","1.3118","1.3010","","-0.43%"
"04/18/2025","1.3107","1.3106","1.3135","1.3100","","0.05%"
"04/17/2025","1.3100","1.3111","1.3158","1.3096","","-0.05%"
"04/16/2025","1.3106","1.3186","1.3195","1.3096","","-0.57%"
"04/15/2025","1.3181","1.3157","1.3199","1.3129","","0.22%"
"04/14/2025","1.3152","1.3189","1.3211","1.3117","","-0.26%"
"04/11/2025","1.3186","1.3317","1.3317","1.3156","","-0.95%"
"04/10/2025","1.3313","1.3385","1.3448","1.3282","","-0.53%"
"04/09/2025","1.3384","1.3535","1.3552","1.3376","","-1.06%"
"04/08/2025","1.3528","1.3530","1.3553","1.3468","","0.00%"
"04/07/2025","1.3528","1.3460","1.3533","1.3436","","0.54%"
"04/04/2025","1.3455","1.3339","1.3483","1.3308","","0.95%"
"04/03/2025","1.3328","1.3473","1.3502","1.3306","","-1.05%"
"04/02/2025","1.3469","1.3441","1.3477","1.3382","","0.24%"
"04/01/2025","1.3437","1.3426","1.3451","1.3414","","0.12%"
"03/31/2025","1.3421","1.3425","1.3452","1.3388","","-0.02%"
"03/28/2025","1.3424","1.3398","1.3434","1.3389","","0.23%"
"03/27/2025","1.3393","1.3404","1.3419","1.3373","","-0.04%"
"03/26/2025","1.3398","1.3360","1.3415","1.3355","","0.34%"
"03/25/2025","1.3352","1.3385","1.3401","1.3347","","-0.24%"
"03/24/2025","1.3384","1.3361","1.3404","1.3344","","0.21%"
"03/21/2025","1.3356","1.3355","1.3370","1.3329","","0.05%"
"03/20/2025","1.3349","1.3308","1.3379","1.3287","","0.33%"
"03/19/2025","1.3305","1.3306","1.3346","1.3299","","0.00%"
"03/18/2025","1.3305","1.3306","1.3337","1.3295","","0.08%"
"03/17/2025","1.3294","1.3339","1.3350","1.3292","","-0.30%"
"03/14/2025","1.3334","1.3358","1.3375","1.3329","","-0.16%"
"03/13/2025","1.3356","1.3328","1.3379","1.3314","","0.23%"
"03/12/2025","1.3325","1.3304","1.3355","1.3295","","0.17%"
"03/11/2025","1.3302","1.3343","1.3352","1.3291","","-0.26%"
"03/10/2025","1.3337","1.3311","1.3348","1.3278","","0.23%"
"03/07/2025","1.3306","1.3328","1.3343","1.3281","","-0.14%"
"03/06/2025","1.3324","1.3314","1.3341","1.3297","","0.11%"
"03/05/2025","1.3309","1.3382","1.3417","1.3299","","-0.50%"
"03/04/2025","1.3376","1.3468","1.3475","1.3372","","-0.64%"
"03/03/2025","1.3462","1.3517","1.3521","1.3432","","-0.33%"
"02/28/2025","1.3506","1.3484","1.3524","1.3465","","0.16%"
"02/27/2025","1.3484","1.3386","1.3487","1.3370","","0.78%"
"02/26/2025","1.3380","1.3365","1.3398","1.3348","","0.19%"
"02/25/2025","1.3355","1.3390","1.3411","1.3356","","-0.19%"
"02/24/2025","1.3381","1.3364","1.3399","1.3310","","0.16%"
"02/21/2025","1.3359","1.3334","1.3380","1.3325","","0.20%"
"02/20/2025","1.3332","1.3428","1.3432","1.3324","","-0.69%"
"02/19/2025","1.3424","1.3421","1.3442","1.3406","","0.07%"
"02/18/2025","1.3415","1.3413","1.3447","1.3407","","0.05%"
"02/17/2025","1.3408","1.3398","1.3422","1.3373","","0.14%"
"02/14/2025","1.3389","1.3431","1.3451","1.3379","","-0.30%"
"02/13/2025","1.3429","1.3531","1.3539","1.3426","","-0.71%"
"02/12/2025","1.3525","1.3531","1.3586","1.3502","","-0.04%"
"02/11/2025","1.3530","1.3554","1.3580","1.3507","","-0.17%"
"02/10/2025","1.3553","1.3549","1.3585","1.3524","","0.07%"
"02/07/2025","1.3544","1.3506","1.3567","1.3485","","0.29%"
"02/06/2025","1.3505","1.3487","1.3548","1.3476","","0.15%"
"02/05/2025","1.3485","1.3518","1.3541","1.3463","","-0.21%"
"02/04/2025","1.3513","1.3592","1.3632","1.3506","","-0.57%"
"02/03/2025","1.3590","1.3588","1.3702","1.3588","","0.05%"
"01/31/2025","1.3583","1.3533","1.3601","1.3516","","0.39%"
"01/30/2025","1.3530","1.3495","1.3537","1.3477","","0.30%"
"01/29/2025","1.3490","1.3510","1.3536","1.3481","","-0.15%"
"01/28/2025","1.3510","1.3447","1.3538","1.3437","","0.51%"
"01/27/2025","1.3442","1.3460","1.3497","1.3418","","-0.12%"
"01/24/2025","1.3458","1.3557","1.3583","1.3442","","-0.70%"
"01/23/2025","1.3553","1.3551","1.3592","1.3533","","0.00%"
"01/22/2025","1.3553","1.3523","1.3565","1.3505","","0.27%"
"01/21/2025","1.3517","1.3565","1.3619","1.3514","","-0.32%"
"01/20/2025","1.3560","1.3697","1.3698","1.3529","","-0.99%"
"01/17/2025","1.3695","1.3663","1.3704","1.3646","","0.25%"
"01/16/2025","1.3661","1.3670","1.3699","1.3647","","-0.06%"
"01/15/2025","1.3669","1.3667","1.3695","1.3630","","0.04%"
"01/14/2025","1.3664","1.3695","1.3710","1.3662","","-0.23%"
"01/13/2025","1.3695","1.3719","1.3753","1.3693","","-0.14%"
"01/10/2025","1.3714","1.3684","1.3752","1.3668","","0.29%"
"01/09/2025","1.3674","1.3677","1.3718","1.3668","","-0.02%"
"01/08/2025","1.3677","1.3642","1.3714","1.3625","","0.26%"
"01/07/2025","1.3641","1.3635","1.3665","1.3586","","0.06%"
"01/06/2025","1.3633","1.3701","1.3719","1.3557","","-0.46%"
"01/03/2025","1.3696","1.3700","1.3731","1.3671","","-0.01%"
"01/02/2025","1.3698","1.3652","1.3719","1.3599","","0.42%"
"01/01/2025","1.3641","1.3655","1.3658","1.3649","","-0.08%"
"12/31/2024","1.3652","1.3600","1.3683","1.3577","","0.40%"
"12/30/2024","1.3598","1.3587","1.3613","1.3550","","0.12%"
"12/27/2024","1.3582","1.3590","1.3611","1.3570","","-0.05%"
"12/26/2024","1.3589","1.3578","1.3606","1.3570","","0.17%"
"12/25/2024","1.3566","1.3599","1.3600","1.3570","","-0.15%"
"12/24/2024","1.3586","1.3575","1.3615","1.3563","","0.09%"
"12/23/2024","1.3574","1.3552","1.3584","1.3530","","0.17%"
"12/20/2024","1.3551","1.3611","1.3628","1.3530","","-0.41%"
"12/19/2024","1.3607","1.3631","1.3636","1.3576","","-0.18%"
"12/18/2024","1.3631","1.3500","1.3638","1.3490","","1.00%"
"12/17/2024","1.3496","1.3499","1.3516","1.3481","","-0.01%"
"12/16/2024","1.3498","1.3491","1.3520","1.3474","","0.13%"
"12/13/2024","1.3481","1.3469","1.3502","1.3461","","0.10%"
