Date,Price,Open,High,Low,Vol.,Change %
09-08-2025,30.398,30.517,30.517,30.395,,-0.31%
09-07-2025,30.494,30.523,30.523,30.494,,0.00%
09-05-2025,30.493,30.713,30.735,30.397,,-0.72%
09-04-2025,30.713,30.737,30.742,30.62,,-0.08%
09-03-2025,30.737,30.778,30.807,30.652,,-0.07%
09-02-2025,30.757,30.629,30.846,30.61,,0.42%
09-01-2025,30.629,30.565,30.704,30.564,,0.18%
08/29/2025,30.575,30.531,30.67,30.476,,0.26%
08/28/2025,30.495,30.62,30.642,30.474,,-0.20%
08/27/2025,30.556,30.578,30.66,30.518,,-0.13%
08/26/2025,30.595,30.467,30.607,30.383,,0.43%
08/25/2025,30.463,30.425,30.507,30.373,,0.27%
08/22/2025,30.382,30.537,30.708,30.267,,-0.50%
08/21/2025,30.534,30.289,30.569,30.268,,0.83%
08/20/2025,30.284,30.119,30.327,30.096,,0.49%
08/19/2025,30.137,30.04,30.176,30.017,,0.30%
08/18/2025,30.047,30.004,30.098,29.963,,0.05%
08/15/2025,30.033,30.075,30.129,29.977,,-0.14%
08/14/2025,30.075,29.95,30.099,29.883,,0.35%
08/13/2025,29.969,29.921,30.025,29.869,,0.12%
08-12-2025,29.932,29.963,30.031,29.843,,-0.10%
08-11-2025,29.963,29.892,29.998,29.836,,0.19%
08-08-2025,29.907,29.815,29.928,29.77,,0.31%
08-07-2025,29.814,29.944,29.977,29.735,,-0.33%
08-06-2025,29.912,29.953,30.03,29.863,,-0.15%
08-05-2025,29.956,29.899,30.031,29.85,,0.19%
08-04-2025,29.899,29.793,30.017,29.751,,0.23%
08-01-2025,29.83,29.961,30.119,29.83,,-0.30%
07/31/2025,29.92,29.862,30.045,29.777,,0.17%
07/30/2025,29.87,29.657,29.886,29.622,,0.72%
07/29/2025,29.657,29.672,29.831,29.595,,-0.05%
07/28/2025,29.672,29.463,29.7,29.44,,0.64%
07/25/2025,29.483,29.406,29.536,29.364,,0.26%
07/24/2025,29.406,29.249,29.425,29.219,,0.54%
07/23/2025,29.249,29.414,29.446,29.243,,-0.49%
07/22/2025,29.394,29.391,29.498,29.312,,0.09%
07/21/2025,29.368,29.393,29.503,29.33,,-0.14%
07/18/2025,29.41,29.401,29.464,29.315,,-0.05%
07/17/2025,29.426,29.347,29.529,29.347,,0.27%
07/16/2025,29.347,29.424,29.573,29.327,,-0.20%
07/15/2025,29.405,29.375,29.443,29.254,,0.05%
07/14/2025,29.389,29.259,29.39,29.21,,0.50%
07-11-2025,29.242,29.253,29.317,29.18,,0.00%
07-10-2025,29.241,29.221,29.285,29.164,,0.07%
07-09-2025,29.22,29.121,29.237,29.056,,0.33%
07-08-2025,29.123,29.092,29.161,29.005,,0.03%
07-07-2025,29.114,28.916,29.133,28.916,,0.68%
07-04-2025,28.916,28.933,28.995,28.805,,-0.07%
07-03-2025,28.937,28.973,29.078,28.822,,-0.12%
07-02-2025,28.973,29.301,29.31,28.91,,-1.13%
07-01-2025,29.304,29.196,29.338,29.129,,0.37%
06/30/2025,29.196,29.11,29.368,29.044,,0.34%
06/27/2025,29.096,29.219,29.233,28.744,,-0.26%
06/26/2025,29.173,29.378,29.378,28.977,,-0.55%
06/25/2025,29.334,29.484,29.54,29.249,,-0.50%
06/24/2025,29.48,29.625,29.7,29.441,,-0.49%
06/23/2025,29.625,29.59,29.861,29.506,,0.13%
06/20/2025,29.588,29.584,29.672,29.415,,0.01%
06/19/2025,29.586,29.561,29.703,29.518,,0.07%
06/18/2025,29.564,29.67,29.685,29.485,,-0.32%
06/17/2025,29.66,29.45,29.734,29.381,,0.64%
06/16/2025,29.471,29.551,29.662,29.334,,-0.23%
06/13/2025,29.539,29.542,29.657,29.432,,-0.01%
06-12-2025,29.543,29.878,29.925,29.246,,-1.12%
06-11-2025,29.878,29.898,29.964,29.823,,-0.07%
06-10-2025,29.898,29.931,29.978,29.89,,-0.12%
06-09-2025,29.934,29.933,30.011,29.893,,0.00%
06-06-2025,29.933,29.957,30.005,29.861,,-0.08%
06-05-2025,29.957,29.957,29.996,29.864,,0.00%
06-04-2025,29.957,30.008,30.059,29.927,,-0.16%
06-03-2025,30.004,30.004,30.034,29.934,,0.01%
06-02-2025,30.001,29.886,30.031,29.864,,0.28%
05/30/2025,29.917,29.835,29.949,29.758,,0.27%
05/29/2025,29.835,29.913,30.128,29.654,,-0.26%
05/28/2025,29.912,29.99,30.02,29.845,,-0.29%
05/27/2025,30,29.93,30.075,29.817,,0.24%
