Date,Date,,,,,,Price
09-05-2025,9,,,5,2025,5/9/2025,125.7
09-04-2025,9,,,4,2025,4/9/2025,122.9
09-03-2025,9,,,3,2025,3/9/2025,122.7
09-02-2025,9,,,2,2025,2/9/2025,123.9
09-01-2025,9,,,1,2025,1/9/2025,126.3
08/29/2025,8,29,2025,,,29/8/2025,127
08/28/2025,8,28,2025,,,28/8/2025,131
08/27/2025,8,27,2025,,,27/8/2025,129
08/26/2025,8,26,2025,,,26/8/2025,132.3
08/25/2025,8,25,2025,,,25/8/2025,132.9
08/22/2025,8,22,2025,,,22/8/2025,137.7
08/21/2025,8,21,2025,,,21/8/2025,136.5
08/20/2025,8,20,2025,,,20/8/2025,134.4
08/19/2025,8,19,2025,,,19/8/2025,135
08/18/2025,8,18,2025,,,18/8/2025,132.1
08/15/2025,8,15,2025,,,15/8/2025,114.8
08/14/2025,8,14,2025,,,14/8/2025,113.3
08/13/2025,8,13,2025,,,13/8/2025,115.1
08-12-2025,8,,,12,2025,12/8/2025,116.7
08-11-2025,8,,,11,2025,11/8/2025,111.4
08-08-2025,8,,,8,2025,8/8/2025,116
08-07-2025,8,,,7,2025,7/8/2025,116.3
08-06-2025,8,,,6,2025,6/8/2025,115.8
08-05-2025,8,,,5,2025,5/8/2025,117.9
08-04-2025,8,,,4,2025,4/8/2025,118.4
08-01-2025,8,,,1,2025,1/8/2025,117.4
07/31/2025,7,31,2025,,,31/7/2025,120
07/30/2025,7,30,2025,,,30/7/2025,119.3
07/29/2025,7,29,2025,,,29/7/2025,120.7
07/28/2025,7,28,2025,,,28/7/2025,122.9
07/25/2025,7,25,2025,,,25/7/2025,125.5
07/24/2025,7,24,2025,,,24/7/2025,125.3
07/23/2025,7,23,2025,,,23/7/2025,125.3
07/22/2025,7,22,2025,,,22/7/2025,119.1
07/21/2025,7,21,2025,,,21/7/2025,115.4
07/18/2025,7,18,2025,,,18/7/2025,120.6
07/17/2025,7,17,2025,,,17/7/2025,104.8
07/16/2025,7,16,2025,,,16/7/2025,105.6
07/15/2025,7,15,2025,,,15/7/2025,107.3
07/14/2025,7,14,2025,,,14/7/2025,103.7
07-11-2025,7,,,11,2025,11/7/2025,105.3
07-10-2025,7,,,10,2025,10/7/2025,108.7
07-09-2025,7,,,9,2025,9/7/2025,107.3
07-08-2025,7,,,8,2025,8/7/2025,105.3
07-07-2025,7,,,7,2025,7/7/2025,108.9
07-04-2025,7,,,4,2025,4/7/2025,111.6
07-03-2025,7,,,3,2025,3/7/2025,112.3
07-02-2025,7,,,2,2025,2/7/2025,105.2
07-01-2025,7,,,1,2025,1/7/2025,95.5
06/30/2025,6,30,2025,,,30/6/2025,95
06/27/2025,6,27,2025,,,27/6/2025,103.3
06/26/2025,6,26,2025,,,26/6/2025,106.4
06/25/2025,6,25,2025,,,25/6/2025,104.6
06/24/2025,6,24,2025,,,24/6/2025,103.7
06/23/2025,6,23,2025,,,23/6/2025,101.3
06/20/2025,6,20,2025,,,20/6/2025,103.4
06/19/2025,6,19,2025,,,19/6/2025,104.3
06/18/2025,6,18,2025,,,18/6/2025,106
06/17/2025,6,17,2025,,,17/6/2025,108
06/16/2025,6,16,2025,,,16/6/2025,112
06/13/2025,6,13,2025,,,13/6/2025,108.1
06-12-2025,6,,,12,2025,12/6/2025,110.6
06-11-2025,6,,,11,2025,11/6/2025,110.9
06-10-2025,6,,,10,2025,10/6/2025,110.3
06-06-2025,6,,,6,2025,6/6/2025,108.3
06-04-2025,6,,,4,2025,4/6/2025,106.2
06-03-2025,6,,,3,2025,3/6/2025,101.8
06-02-2025,6,,,2,2025,2/6/2025,102.8
05/28/2025,5,28,2025,,,28/5/2025,103.7
05/27/2025,5,27,2025,,,27/5/2025,102.2
05/26/2025,5,26,2025,,,26/5/2025,101.4
05/23/2025,5,23,2025,,,23/5/2025,101.3
05/22/2025,5,22,2025,,,22/5/2025,101.1
05/21/2025,5,21,2025,,,21/5/2025,107.8
05/20/2025,5,20,2025,,,20/5/2025,111.3
05/19/2025,5,19,2025,,,19/5/2025,106.2
05/16/2025,5,16,2025,,,16/5/2025,110.3
05/15/2025,5,15,2025,,,15/5/2025,112.3
05/14/2025,5,14,2025,,,14/5/2025,111.8
05/13/2025,5,13,2025,,,13/5/2025,112.9
05-12-2025,5,,,12,2025,12/5/2025,103.3
05-09-2025,5,,,9,2025,9/5/2025,98.7
05-08-2025,5,,,8,2025,8/5/2025,93
05-07-2025,5,,,7,2025,7/5/2025,92.2
05-06-2025,5,,,6,2025,6/5/2025,96.5
05-05-2025,5,,,5,2025,5/5/2025,88.5
05-02-2025,5,,,2,2025,2/5/2025,89.4
05-01-2025,5,,,1,2025,1/5/2025,87.1
04/30/2025,4,30,2025,,,30/4/2025,87.3
04/29/2025,4,29,2025,,,29/4/2025,86
04/28/2025,4,28,2025,,,28/4/2025,88.2
04/25/2025,4,25,2025,,,25/4/2025,87
04/24/2025,4,24,2025,,,24/4/2025,86.1
04/23/2025,4,23,2025,,,23/4/2025,87.8
04/22/2025,4,22,2025,,,22/4/2025,87.2
04/16/2025,4,16,2025,,,16/4/2025,88.1
04/15/2025,4,15,2025,,,15/4/2025,90.6
04/14/2025,4,14,2025,,,14/4/2025,89.9
04-11-2025,4,,,11,2025,11/4/2025,86.1
04-10-2025,4,,,10,2025,10/4/2025,85.1
04-09-2025,4,,,9,2025,9/4/2025,82.9
04-08-2025,4,,,8,2025,8/4/2025,88.7
04-07-2025,4,,,7,2025,7/4/2025,86.2
04-04-2025,4,,,4,2025,4/4/2025,86.8
04-03-2025,4,,,3,2025,3/4/2025,97.7
04-02-2025,4,,,2,2025,2/4/2025,95.8
04-01-2025,4,,,1,2025,1/4/2025,95.5
03/31/2025,3,31,2025,,,31/3/2025,94.9
03/28/2025,3,28,2025,,,28/3/2025,100.1
03/27/2025,3,27,2025,,,27/3/2025,102.4
03/26/2025,3,26,2025,,,26/3/2025,103.7
03/25/2025,3,25,2025,,,25/3/2025,104.8
03/24/2025,3,24,2025,,,24/3/2025,104
03/21/2025,3,21,2025,,,21/3/2025,108.8
03/20/2025,3,20,2025,,,20/3/2025,111.8
03/19/2025,3,19,2025,,,19/3/2025,116
03/18/2025,3,18,2025,,,18/3/2025,115.6
03/17/2025,3,17,2025,,,17/3/2025,110.6
03/14/2025,3,14,2025,,,14/3/2025,107.7
03/13/2025,3,13,2025,,,13/3/2025,104.3
03-12-2025,3,,,12,2025,12/3/2025,103.3
03-11-2025,3,,,11,2025,11/3/2025,108.4
03-10-2025,3,,,10,2025,10/3/2025,107
03-07-2025,3,,,7,2025,7/3/2025,104.6
03-06-2025,3,,,6,2025,6/3/2025,107.2
03-05-2025,3,,,5,2025,5/3/2025,103.3
03-04-2025,3,,,4,2025,4/3/2025,97
03-03-2025,3,,,3,2025,3/3/2025,98
02/28/2025,2,28,2025,,,28/2/2025,101.4
02/27/2025,2,27,2025,,,27/2/2025,102.3
02/26/2025,2,26,2025,,,26/2/2025,104.1
02/25/2025,2,25,2025,,,25/2/2025,102.4
02/24/2025,2,24,2025,,,24/2/2025,99
02/21/2025,2,21,2025,,,21/2/2025,98
